GPT_4_MINI_Small_Batch_Freq_to_Infreq_14
Statistical analysis:
Total Guesses:,221
Total Akkadian Guesses:,221
Total Correct Akkadian Guesses:,6,Percent Correct Guesses:,0.027149321266968326
Total Incorrect Akkadian Guesses:,215,Percent Incorrect Guesses:,0.9728506787330317
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,training with questions and statements, alternating in small batches of 4 lemmas x28. train on frequent then infrequent batches, do swapping between questions and statemnts for the first 14 batches, then only questions for the next 14 batches. give only context as example sentence. for training: 32 high frequency, 24 low frequency, all sumerian/emesal. test batch size = 50. small mistake correction (thresh 3), common mistake correction (thresh 3), and negative reinforcement used in training. Example sentence masks turned on.
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
ēkallu I,23,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,E₂.GALia,1,0.0,1.0,( E₂.GAL I | qe₂reb E₂.GALia u₂kin NU TEŠ₂ LUGAL DINGIRMEŠ )
,E₂.GAL,1,0.0,1.0,( E₂.GAL I | DUMUšu₂ ša₂ {m}{d}60DUMUMUnu {lu₂}IR₃ E₂.GAL ana u₄mu ṣaatu₂ šuu₂ )
,E₂.GALšu₂,1,0.0,1.0,( E₂.GAL I | ana tahsisti SARma IGI.BAR ŠA₃ E₂.GALšu₂ )
,E₂GALšu₂,1,0.0,1.0,( GAL I | [MASK] qe₂reb E₂GALšu₂ )
,KUR,1,0.0,1.0,( KUR I | KUR MAN ŠU₂ MAN KUR )
,E₂.GALMEŠ,1,0.0,1.0,( GAL I | [MASK] E₂.GALMEŠ )
,E₂.GALMU,1,0.0,1.0,( GAL I | tamarti [MASK] qe₂reb E₂.GALMU u₂kin )
,E₂.GALlim,1,0.0,1.0,( GAL I | [MASK] [MASK] [MASK] [MASK] [MASK] E₂.GALlim [MASK] ŠE )
,E₂.GALam,1,0.0,1.0,( E₂.GAL I | E₂.GALam kabtaam )
,E₂.GALšu,1,0.0,1.0,( E₂.GAL I | [MASK] TA E₂.GALšu IDIMMEŠ ŠU.HAšu DUMU GEME₂ E₂.GAL GU.ZA DAB₂ )
,E₂.GALka,1,0.0,1.0,( E₂.GAL I | [MASK] E₂.GALka )
,E₂.GAL{lum},1,0.0,1.0,( GAL I | U₄{um} E₂.GAL{lum} )
,E₂.GALBI,1,0.0,1.0,( GAL I | GAL IGIir NIG₂.ŠU E₂.GALBI )
,E₂.GALlika,1,0.0,1.0,( E₂.GAL I | [MASK] E₂.GALlika )
,E₂.GALGU₁₀,1,0.0,1.0,( GAL I | HUL A₂MEŠ GISKIMMEŠ HULMEŠ NU DU₁₀MEŠ ša₂ ina E₂.GALGU₁₀ u KURGU₁₀ GAL₂a )
,E₂.GALMEŠšu₂,1,0.0,1.0,( GAL I | [MASK] E₂.GALMEŠšu₂ )
,ekal,1,0.0,1.0,( ekallu I | ana mahar ekal {d}UTUši panišu₂ šu₂kunma )
,E₂GALia,1,0.0,1.0,( E₂GAL I | ana šitaassiia qe₂rib E₂GALia )
,E₂.GALya,1,0.0,1.0,( E₂.GAL I | ana tamarti šitaassiya E₂.GALya u₂kin )
,E₂GALMU,1,0.0,1.0,( GAL I | A₂MEŠ GISKIMMEŠ HULMEŠ [MASK] DUG₃MEŠ ša₂ ina E₂GALMU GAL₂a )
,E₂.GAL{lim},1,0.0,1.0,( GAL I | ša ana tiir E₂.GAL{lim} )
,E₂.GALia₂,1,0.0,1.0,( E₂.GAL I | tamarti šitasiia₂ [MASK] E₂.GALia₂ u₂kin )
