GPT_4_MINI_Small_Batch_Freq_to_Infreq_13
Statistical analysis:
Total Guesses:,183
Total Akkadian Guesses:,183
Total Correct Akkadian Guesses:,0,Percent Correct Guesses:,0.0
Total Incorrect Akkadian Guesses:,183,Percent Incorrect Guesses:,1.0
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,training with only questions in small batches of 4 lemmas x28. train on frequent then infrequent batches. give only context as example sentence. for training: 32 high frequency, 24 low frequency, all sumerian/emesal. test batch size = 50. small mistake correction (thresh 3), common mistake correction (thresh 3), and negative reinforcement used in training. Example sentence masks turned on.
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
hiālu I,7,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ihalu,1,0.0,1.0,( ihalu )
,ihiil,1,0.0,1.0,( ihiilu | KI [MASK] ihiil )
,ihiilla,1,0.0,1.0,( ihiillu | [MASK] [MASK] ZU₂.MEŠšu₂ inaaš₂ u lu [MASK] ihiilla [MASK] [MASK] DIBal )
,ihaal,1,0.0,1.0,( iḥālu | MUD₂ ihaal ana TIšu₂ {šim}GUR₂.GUR₂ )
,ihilam,1,0.0,1.0,( ihilum | DIŠ KI KUR napṭa ihilam BI almanutu₂ )
,ihiillu,1,0.0,1.0,( ihiillu | [MASK] ihiillu )
,ihalma,1,0.0,1.0,( ihalu | E₃MEŠni KI I₃.GIŠ ihalma [MASK] LUGAL IRI u UNMEŠšu₂ )
māhiru I,7,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,GABA.RI,1,0.0,1.0,( GABA.RI | DIŠ {mul}dil.bat ina KASKAL šuut IGI LUGAL elam.ma{ki} GABA.RI NU )
,mahira,1,0.0,1.0,( mahiru | mahira la iraaš₂ši )
,mahiri,1,0.0,1.0,( mahru | belu₄ ina ANe belutu₂ ina KIti₃ etellutu₂ ina DINGIRMEŠ atheka mahiri ul tiiši )
,GARA.RI,1,0.0,1.0,( GARA.RI | [MASK] ŠUMINsu KURad₂ [MASK] LUGAL GARA.RI NU TUKši )
,mahiru,1,0.0,1.0,( mahiru | [MASK] [MASK] kakku la mahiru [MASK] {d}nudim₂mud )
,mahirat,1,0.0,1.0,( mahiru | PIŠ₁₀.{d}ID₂ la mahirat )
,mahiraam,1,0.0,1.0,( mahiru | [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] belum ša mahiraam la išuu₂ )
gamlu I,7,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,gamli₃,1,0.0,1.0,( gamlu | DIŠ SI GUB₃šu₂ [MASK] GIM gamli₃ )
,GAM₃,1,0.0,1.0,( GAM | GAM₃ {giš}TAŠKARIN {na₄}AŠ₃.GI₃.GI₃ {na₄}GIŠ.NU₁₁.GAL )
,{mul}ZUBI,1,0.0,1.0,( ZUBI | {mul}ZUBI ŠE.IR.ZI naši SUHUŠ AŠ.TE DUan {mul}{giš}GIGIR )
,gamlimia,1,0.0,1.0,( gamlu | EN₂ aš₃ši gamlimia )
,{giš}gamlu₄,1,0.0,1.0,( gamlu | {na₄}PA ša₂ GUN₃MEŠšu₂ {na₄}kapaṣa SA₅ {na₄}ŠUBA seh₂ri {giš}gamlu₄ {giš}TUKUL {na₄}AN.ZAH )
,gamlimma,1,0.0,1.0,( gamlu | BE ŠA₃.NIGIN GIM gamlimma SAG šuuhha IGIMEŠ KURtu₄ )
,{giš}gamil,1,0.0,1.0,( gamil | [MASK] [MASK] {giš}gamil ina UGU )
sebe I,18,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,sibit,1,0.0,1.0,( sibtu | kiṣir sibit adi šina kuṣurma )
,sibitti,1,0.0,1.0,( sibittu | [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] sibitti adi šina šu₂nu )
,sebet,1,0.0,1.0,( sebet | [MASK] [MASK] [MASK] sebet u₂rigallu ša₂ gaṣṣa )
,7šu₂nu,1,0.0,1.0,( 7šu | 7šu₂nu naduu₂ šiptu₄ muballiṭ {lu₂}GIG mimma ul )
,7,1,0.0,1.0,( 7 | [MASK] NU.NU [MASK] u 7 KA.KEŠDA KEŠDA ema )
,UD.7.KAM,1,0.0,1.0,( UD.7.KAM | DIŠ abbuuttašu₂ A u₂kal kal UD [MASK] [MASK] [MASK] [MASK] ina UD.7.KAM LAL )
,UD.7.KAM₂,1,0.0,1.0,( UD.7.KAM | iar₂ru₃ UD.7.KAM₂ NAGMEŠ )
,7(diš),1,0.0,1.0,( 7 | mahruu₂ 7(diš) MA.NA )
,sibittišu₂nu,1,0.0,1.0,( sibittu | alkakati sibittišu₂nu lamadi ašrišina šiteʾa hišamma )
,siba,1,0.0,1.0,( sibu | [MASK] [MASK] ša₂dii nuna ša₂ siba )
,IMIN,1,0.0,1.0,( IMIN | ina šeri₃ [MASK] [MASK] {d}UTU [MASK] IMIN GI.DU₈ GUBan )
,7et,1,0.0,1.0,( 7et | [MASK] [MASK] DABit 7et u 7et ŠEMEŠ ina [MASK] [MASK] haanzaa ša₂ ŠA₃ GI DU₁₀.GA TIqe₂ )
,IMINšu₂,1,0.0,1.0,( IMIN | IMINšu₂ u IMINšu₂ DUG₄.GAma BI tetemer )
,7ma,1,0.0,1.0,( 7ma | BE nereeb ZAG u₃ GUB₃ uktinnu 7ma liʾiib ummati uktinnu )
,7šu,1,0.0,1.0,( 7šu | 6šu 7šu )
,7(diš#),1,0.0,1.0,( 7 | 7(diš#) GIN₂ KU₃.BABBAR )
,IMINšu₂nu,1,0.0,1.0,( IMIN | {d}IŠKUR ina MURUB₄ {d}IMIN.BI GU₃šu₂ [MASK] MULMEŠšu₂nu IMINšu₂nu ana KI )
