GPT_4_MINI_Small_Batch_Freq_to_Infreq_15
Statistical analysis:
Total Guesses:,283
Total Akkadian Guesses:,283
Total Correct Akkadian Guesses:,130,Percent Correct Guesses:,0.45936395759717313
Total Incorrect Akkadian Guesses:,153,Percent Incorrect Guesses:,0.5406360424028268
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,n/a
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
lā I,10,0.4,0.6
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,la,1,1.0,0.0,
,NU,1,0.0,1.0,( NU I | diibbi [MASK] ina NU DUG₃ub lib₃bi )
,NU₃,1,0.0,1.0,( NU I | palih {d}anu {d}50 {d}e₂a NU₃ TUM₃šu₂ ina la )
,la₂,2,1.0,0.0,
,GIŠ₃.NU.ZU,2,0.0,1.0,( NU I | [MASK] GIŠ₃.NU.ZU ) | ( NU I | [MASK] annuti ina SIG₂ {munus}AŠ₂.GAR₃ GIŠ₃.NU.ZU SA MAŠ.DA₃ {u₂}NINNI₅ NITA₂ )
,NU.ZU,1,0.0,1.0,( NU I | {šim}{d}NIN.URTA ina KUŠ {munus}AŠ₂.GAR₃ GIŠ₃ NU.ZU ina KUŠ )
,MUNUS.NU.SI.SA₂,1,0.0,1.0,( MUNUS I | [MASK] MUNUS.NU.SI.SA₂ )
,la+a,1,1.0,0.0,
bēlu I,10,0.5,0.5
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,belu,1,1.0,0.0,
,ENBI,1,0.0,1.0,( EN I | [MASK] ANŠE U₃.TU ENBI BA.UŠ₂ )
,beliia,1,1.0,0.0,
,be₂eli₂ia,1,1.0,0.0,
,ENMEŠe,1,0.0,1.0,( EN I | alsikunuši ENMEŠe )
,bela,1,1.0,0.0,
,ENu₂šu₂,1,0.0,1.0,( EN I | ENu₂šu₂ dibbu ša₂ )
,ENE₂,1,0.0,1.0,( ENE I | NIG₂.TUKU UKU₂ ENE₂ BI LUGAL BI )
,belani,1,1.0,0.0,
,ENša₂,1,0.0,1.0,( EN I | [MASK] U₃.TUma [MASK] ENša₂ )
ana I,5,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,amala₂,1,0.0,1.0,( amal I | amala₂ te₂erti₂ka₃ )
,akunušiimma,1,0.0,1.0,( akunu I | akunušiimma tak₂laku )
,ŠE₃,1,0.0,1.0,( ŠE I | [MASK] [MASK] ŠE₃ [MASK] nukur₂ta₅ KINar₂ )
,aqa₂ti₂,1,0.0,1.0,( aqītu I | KU₃.BABBAR aqa₂ti₂ )
,NIG₂.ZU.ŠE₃,1,0.0,1.0,( ŠE I | ABGAL NIG₂.ZU.ŠE₃ IGI.DU₈.A GUB.BA KIN mala {d}e₂a ibšimu KID₃.KID₃.DAMEŠ ŠER₃.KU₃.GAMEŠ )
ša I,5,0.6,0.4
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ša₃,1,1.0,0.0,
,ša₂salamu,1,0.0,1.0,( šalam I | [MASK] KU₄ub ša₂salamu )
,LU₂.NIG₂.EGIR.NI,1,0.0,1.0,( LU I )
,{lu₂}ša₂,1,1.0,0.0,
,ša₃ŠA₃ša₃,1,1.0,0.0,
māru I,10,0.4,0.6
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,GENNA,1,0.0,1.0,( GEN I | [MASK] {lu₂}MAŠ.MAŠ GENNA )
,{lu₂}KIN.GI₄.A,1,0.0,1.0,( KIN I )
,{lu₂}A.KINšu₂,1,0.0,1.0,( A.KIN I | MAŠ₂.GI₆ annitu₂ [MASK] emuru [MASK] ŠUMIN {lu₂}A.KINšu₂ )
,{lu₂}DUMUMEŠ,1,0.0,1.0,( DUMU I | šulliʾa [MASK] LUGAL ina lib₃bišu₂ itame ša₂ GIM {lu₂}DUMUMEŠ )
,maraša₂,1,1.0,0.0,
,maar,1,1.0,0.0,
,DUMUMEŠšu₂nu,1,0.0,1.0,( DUMU I | [MASK] LUGAL u₃ DUMUMEŠšu₂nu )
,AME,1,0.0,1.0,( AME I | u₃ {m}balaṭu AME ša₂ A {lu₂}I₃.SUR gine₂e )
,marušu,1,1.0,0.0,
,marum,1,1.0,0.0,
kīma I,5,0.6,0.4
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,GIN₇,1,0.0,1.0,( GIN I | BE ina ŠUB AŠ.TE UZU GIN₇ {giš}HAŠHUR ZIihma ina ŠA₃šu₂ BUR₃ )
,kima(GIŠ),1,1.0,0.0,
,GIN₇ma,1,0.0,1.0,( GIN I | U₄.9.KAM@v [MASK] GIN₇ma )
,GIMma,1,1.0,0.0,
,kiima,1,1.0,0.0,
mû I,5,0.6,0.4
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,AME,1,0.0,1.0,( AME I | {dug}A.GUB₂.BA GUBan GIG ina AME )
,A.MEŠšu₂,1,1.0,0.0,
