user,"What is the lemma of  i+na ?
 An example sentence using this word is  [MASK] i+na. .
"
assistant,ina I
user,"What is the lemma of  iṣe₂ria ?
"
assistant,ina I
user,"What is the lemma of  i₃na ?
 An example sentence using this word is  i₃na mahri. .
"
assistant,ina I
user,"What is the lemma of  ikisi₂a ?
 An example sentence using this word is  u₃baal anaku ikisi₂a luušqu₂ul. .
"
assistant,kâšu I
user," That is incorrect. The lemma of  ikisi₂a  is  ina I .
What is the lemma of  i ?
 An example sentence using this word is  [MASK] [MASK] [MASK] [MASK] [MASK] ataadlaah i. .
"
assistant,ina I
user,"What is the lemma of  LU₂.SAGtišu₂ ?
 An example sentence using this word is  ana LU₂.SAGtišu₂ kiniš. .
"
assistant,ša I
user,"What is the lemma of  sa₂ ?
 An example sentence using this word is  GUR ZU₂.LUM.MA sa₂ {m}rimut Ašu₂. .
"
assistant,ša I
user,"What is the lemma of  ša₂salamu ?
 An example sentence using this word is  [MASK] KU₄ub ša₂salamu. .
"
assistant,ša I
user,"What is the lemma of  {lu₂}ša₂UGUURU ?
 An example sentence using this word is  ana {lu₂}ša₂UGUURU. .
"
assistant,ša I
user,"What is the lemma of  LU₂.NIG₂.EGIR.NI ?
"
assistant,ša I
user,"What is the lemma of  u₃ ?
 An example sentence using this word is  u₃ KURMEŠ GIN₂ KU₃.BABBAR. .
"
assistant,u I
user,"What is the lemma of  u ?
 An example sentence using this word is  [MASK] u šutaduraku. .
"
assistant,u I
user,"What is the lemma of  u₂ ?
 An example sentence using this word is  [MASK] u₂ [MASK] E₂ ENu₂tišu₂ u₂kin. .
"
assistant,u I
user,"What is the lemma of  u₃(u₂) ?
 An example sentence using this word is  [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] ina qabal [MASK] [MASK] ša₂ šarbu u₃(u₂) ṣeetu₄. .
"
assistant,u I
user,"What is the lemma of  KURšu ?
 An example sentence using this word is  UGU KURšu. .
"
assistant,mātu I
user,"What is the lemma of  mataate ?
 An example sentence using this word is  kima daaani mataate šutešir. .
"
assistant,mātu I
user,"What is the lemma of  KURia ?
 An example sentence using this word is  [MASK] [MASK] [MASK] u KURia. .
"
assistant,mātu I
user,"What is the lemma of  matika ?
 An example sentence using this word is  [MASK] [MASK] [MASK] ruqti niši matika u₂sappiih. .
"
assistant,mātu I
user,"What is the lemma of  KURšu₂nu ?
 An example sentence using this word is  ŠUBti₃ LUGAL [MASK] LUGAL gutii u KURšu₂nu. .
"
assistant,mātu I
user,"What is the lemma of  LUGAL.MEŠni ?
 An example sentence using this word is  ša ina LUGAL.MEŠni alik mahriia. .
"
assistant,šarru I
user,"What is the lemma of  šar₃ ?
 An example sentence using this word is  {d}nusku šar₃ muši munammir u₂mu [MASK] taazzaaz ina muši niši. .
"
assistant,šarru I
user,"What is the lemma of  LUGALMEŠšu₂ ?
 An example sentence using this word is  DIŠ ina {iti}ŠU [MASK] UŠ₂ma GARun LUGAL ana LUGALMEŠšu₂. .
"
assistant,šarru I
user,"What is the lemma of  {mul}LUGAL ?
 An example sentence using this word is  {mul}LUGAL ŠE.IR.ZI naši [MASK] URI{ki}. .
"
assistant,šarru I
user,"What is the lemma of  LUGAL.LA ?
 An example sentence using this word is  bunaanni LUGAL.LA eli tene₂šeetu₄ [MASK] ša₂lummatu₄. .
"
assistant,šarru I
user,"What is the lemma of  maruti ?
 An example sentence using this word is  maruti la. .
"
assistant,māru I
user,"What is the lemma of  {lu₂}A.KINka ?
 An example sentence using this word is  {lu₂}A.KINka ittiia₂. .
"
assistant,māru I
user,"What is the lemma of  marušu ?
 An example sentence using this word is  marušu ipaalšu. .
"
assistant,māru I
user,"What is the lemma of  maar ?
 An example sentence using this word is  ana liqutu₄ la maar AN.GUB.BAMEŠ. .
"
assistant,māru I
user,"What is the lemma of  maru ?
 An example sentence using this word is  [MASK] [MASK] [MASK] [MASK] [MASK] ul ahzu maru ul aldu šu₂nu. .
"
assistant,māru I
user,"What is the lemma of  E₂.MEŠ ?
 An example sentence using this word is  ina E₂.MEŠ DINGIR.MEŠ irtanappudu. .
"
assistant,bītu I
user,"What is the lemma of  E₂šu ?
 An example sentence using this word is  ina E₂šu. .
"
assistant,bītu I
user,"What is the lemma of  E₂ki ?
 An example sentence using this word is  [MASK] E₂ki. .
"
assistant,bītu I
user,"What is the lemma of  E₂sunu ?
 An example sentence using this word is  [MASK] E₂sunu. .
"
assistant,bītu I
user,"What is the lemma of  E₂kun ?
"
assistant,bītu I
user,"What is the lemma of  BA.RA ?
 An example sentence using this word is  BE MUNUS U₃.TUma GEŠTUGMEŠšu₂ kilatuu BA.RA BUR₃MEŠ. .
"
assistant,lā I
user,"What is the lemma of  MUNUS.NU.SI.SA₂ ?
 An example sentence using this word is  [MASK] MUNUS.NU.SI.SA₂. .
"
assistant,lā I
user,"What is the lemma of  la₂ ?
 An example sentence using this word is  la₂ imhuranima. .
"
assistant,lā I
user,"What is the lemma of  NU.ŠE.GA ?
"
assistant,lā I
user,"What is the lemma of  laa ?
 An example sentence using this word is  [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] laa. .
"
assistant,lā I
user,"What is the lemma of  išakkana ?
 An example sentence using this word is  išakkana GAŠAN rabitu₂. .
"
assistant,šakānu I
user,"What is the lemma of  GARanma ?
 An example sentence using this word is  NIG₂.NA ana {d}UTU.E₃ GARanma DUG. .
"
assistant,šakānu I
user,"What is the lemma of  išakkanuma ?
 An example sentence using this word is  [MASK] ina E₂ par₂si išakkanuma. .
"
assistant,šakānu I
user,"What is the lemma of  iššakkan ?
 An example sentence using this word is  ina balika ul iššakkan naptanu ina E₂.KUR. .
"
assistant,šakānu I
user,"What is the lemma of  šitkunuma ?
 An example sentence using this word is  ekil la napiihšu₂ {d}UTU.ŠU₂.AMEŠšu₂ ina [MASK] šitkunuma muṣašu₂. .
"
assistant,šakānu I
user,"What is the lemma of  ŠA₃ša₂ ?
 An example sentence using this word is  [MASK] [MASK] assuh ŠA₃ša₂. .
"
assistant,libbu I
user,"What is the lemma of  ŠA₃šina ?
 An example sentence using this word is  DIŠma KA₂šu₂ ana {im}U₁₈.LU BAD ina ITI BI {munus}PEŠ₄ME ša₃ ŠA₃šina. .
"
assistant,libbu I
user,"What is the lemma of  lib₃bika ?
 An example sentence using this word is  ina niinguut lib₃bika. .
"
assistant,libbu I
user,"What is the lemma of  ŠA₃biušša₂ ?
 An example sentence using this word is  luušerid ina ŠA₃biušša₂ [MASK] ia [MASK] dumqa lumur. .
"
assistant,libbu I
user,"What is the lemma of  lib₃baša₂ ?
 An example sentence using this word is  ina muši la tallak lib₃baša₂ dameeq u lemun. .
"
assistant,libbu I
user,"What is the lemma of  ilišu₂ ?
 An example sentence using this word is  ana {d}UTU aša₂red DINGIRMEŠ šalmusu ana qaat damqaatu₂ ša₂ ilišu₂ [MASK] [MASK] EN₂. .
"
assistant,ilu I
user,"What is the lemma of  il₃kaa ?
 An example sentence using this word is  il₃kaa naṣirka anaku {lu₂}NIMGIR₂. .
"
assistant,ilu I
user,"What is the lemma of  DINGIRLU₂ ?
 An example sentence using this word is  ana IGI DINGIRLU₂. .
"
assistant,ilu I
user,"What is the lemma of  DINGIR.HUL.AMEŠ ?
 An example sentence using this word is  šaaggaašu šagaašti DINGIR.HUL.AMEŠ. .
"
assistant,ilu I
user,"What is the lemma of  DINGIR(MAŠ) ?
 An example sentence using this word is  BE izbu GIR₃MEŠšu₂ IGIMEŠ LUGUD₂.DAMEŠ niiš ŠU+MINšu₂ KI DINGIR(MAŠ) ul mahir. .
"
assistant,ilu I
user,"What is the lemma of  U₄MEŠšina ?
 An example sentence using this word is  u₂lu {d}UDU.TILMEŠ U₄MEŠšina NU [MASK] haanṭiš ŠU₂MEŠ. .
"
assistant,ūmu I
user,"What is the lemma of  UD.19.KAM@v ?
 An example sentence using this word is  IBILA NIBRU{ki} {iti}BAR₂ UD.19.KAM@v. .
"
assistant,ūmu I
