GPT_4_MINI_Small_Batch_Freq_to_Infreq_12
Statistical analysis:
Total Guesses:,196
Total Akkadian Guesses:,196
Total Correct Akkadian Guesses:,0,Percent Correct Guesses:,0.0
Total Incorrect Akkadian Guesses:,196,Percent Incorrect Guesses:,1.0
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,training with only questions in small batches of 4 lemmas x28. train on frequent then infrequent batches. give only context as example sentence. for training: 32 high frequency, 24 low frequency, all sumerian/emesal. test batch size = 50. small mistake correction (thresh 3), common mistake correction (thresh 3), and negative reinforcement used in training. Example sentence masks turned on.
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
bīnu II,13,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,biina,1,0.0,1.0,( bīnu | ina KURi mee [MASK] biina )
,{giš}ŠINIG,1,0.0,1.0,( šinû | NUMUN {giš}ŠINIG SI DARA₃.MAŠ gulgul NAM.LU₂.U₁₈.LU U₂.HI.A annuti ema KEŠDA )
,ŠINIG,1,0.0,1.0,( šinû | ŠINIG SIG₇su tasak₃ ina ZI₃.KUM HE.HE ana ŠA₃ GEŠTUšu₂ )
,{giš}bini,1,0.0,1.0,( binu | [MASK] {na₄}MUŠ.GIR₂ NUMUN {giš}bini NUMUN {giš}MA.NU )
,{geš}ŠINIG,1,0.0,1.0,( šinû | DIŠ MIN u₂raannuum NUMUN {geš}ŠE.NU {u₂}supalam {geš}ŠINIG )
,{giš}binu,1,0.0,1.0,( binu | NUMUN {giš}binu ARHUŠ {munus}pakarti TEŠ₂.BI HI.HI ina DE₃ SARšu₂ )
,binu,1,0.0,1.0,( binu | NUMUN binu NUMUN )
,{giš}bina,1,0.0,1.0,( binu | {giš}bina u {giš}EREN ina GEŠTUG+MINMEŠ GARan )
,{giš}ŠINIG(NAGA),1,0.0,1.0,( šinû | [MASK] GEŠTUGšu₂ GARan PA {giš}ŠINIG(NAGA) )
,biinu,1,0.0,1.0,( bīnu | biinu ša₂ ina musaree mee la ištuu₂ )
,{giš}binim,1,0.0,1.0,( binûm | {giš}binim NUMUN {u}atkam₂ )
,bini,1,0.0,1.0,( bītu | ID₂MEŠ ina {giš}GAG bini )
,{geš}bini,1,0.0,1.0,( binu | SILA₃ PA {geš}bini )
uhhuzu I,1,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,uhhuzu,1,0.0,1.0,( uḫu | mašku uhhuzu )
Nisaba I,6,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,{d}ŠE.NAGA,1,0.0,1.0,( šēnaga | palih {d}UTU u {d}ŠE.NAGA ina )
,{d}NISABA,1,0.0,1.0,( Nisaba | mugarriin {d}NISABA napšat UNMEŠ )
,{d}nisaba,1,0.0,1.0,( nisaba | {d}nisaba U₂ balaṭi )
,nisaba,1,0.0,1.0,( nisaba | mušah₃nibu nisaba )
,niissaaba,1,0.0,1.0,( niṣābu | [MASK] [MASK] [MASK] [MASK] niissaaba iššarši )
,ŠE.NAGA,1,0.0,1.0,( šina | SILA₃ [MASK] DUG₃.GA [MASK] ŠE.NAGA )
šalāšû I,4,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,U₄.30.KAM@v,1,0.0,1.0,( ūmu | {iti}GU₄ U₄.30.KAM@v MU )
,30.KAM,1,0.0,1.0,( šarāqu | ITI.APIN 30.KAM )
,U₄.30.KAM₂,1,0.0,1.0,( ūmu | DIŠ ina {iti}BARA₂ TA U₄.1.KAM₂ U₄.30.KAM₂ LU₂.TUR U₃.TU ina GIR₃MINšu₂ E₂ ADšu₂ BIRah )
,30.KAM₂,1,0.0,1.0,( ūmu | DIŠ U₄ 30.KAM₂ U₄ 12.KAM₂ 1.KAM₂ U₄ [MASK] U₄ 2.KAM₂ U₄ 14.KAM₂ U₄ 3.KAM₂ U₄ 15.KAM₂ U₄ 20.KAM₂ )
išittu I,5,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,išittu₄,1,0.0,1.0,( ištātu | [MASK] išittu₄ [MASK] nišuka ekaa iššalla )
,išitti,1,0.0,1.0,( ištu | [MASK] išitti )
,išnatiia,1,0.0,1.0,( ištanû | ina išnatiia )
,išittiša₂,1,0.0,1.0,( ištātu | u₃u₈a [MASK] ana išittiša₂ [MASK] idaal )
