GPT_4_MINI_Small_Batch_Freq_to_Infreq_8
Statistical analysis:
Total Guesses:,143
Total Akkadian Guesses:,143
Total Correct Akkadian Guesses:,12,Percent Correct Guesses:,0.08391608391608392
Total Incorrect Akkadian Guesses:,131,Percent Incorrect Guesses:,0.916083916083916
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,training with statements and questions in small batches of 4 lemmas x24. between batches, alternate between only questions and only statements. train on frequent then infrequent batches. give only context as example sentence. for training: 32 high frequency, 16 low frequency, all sumerian/emesal. test batch size = 20. no small mistake correction, no common mistake correction, but negative reinforcement used in training. Example sentence masks turned on.
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
šūtu II,16,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,{im}U₁₈.LU,1,0.0,1.0,( U I | ina {im}U₁₈.LU DUNGU )
,{im}U₁₈,1,0.0,1.0,( U I | DUNGU ina ANe [MASK] {im}U₁₈ )
,{im}U₁₉.LU,1,0.0,1.0,( U I | ANe {im}U₁₉.LU )
,IM.U₁₈.LU,1,0.0,1.0,( IM I | [MASK] IM.U₁₈.LU DA E₂ )
,{im}1,1,0.0,1.0,( 1 I | [MASK] [MASK] ina [MASK] [MASK] u ana {im}1 )
,sutuu₂,1,0.0,1.0,( sūtum I | [MASK] [MASK] sutuu₂ ZIma KUR u₂šalpat ZIut )
,{tum₉}U₁₈.LU,1,0.0,1.0,( U I | ina {tum₉}U₁₈.LU MU₂ma [MASK] DE₅.DE₅.GA SU.BIR₄{ki} u₃ )
,{tum₉}U₁₈,1,0.0,1.0,( tum I | DIŠ ina {iti}BARA₂ SIG₇ ina {tum₉}U₁₈ MU₂ma u ZALAG₂ [MASK] LUGAL )
,{tum₉}U₁₉.LU,1,0.0,1.0,( U I | GIN₇ ina {d}UTU.E₃ ana {tum₉}U₁₉.LU IGIMEŠša₂ GARma )
,IM.1,1,0.0,1.0,( IM I | DIŠ KA₂šu ana IM.1 BAD [MASK] DE₅.DE₅.GA MAŠ₂.ANŠE )
,{im}šuu₂tu,1,0.0,1.0,( šūtu I | nuuhhutu 5(diš) GI.MEŠ E₂ {im}šuu₂tu )
,šutušu₂,1,0.0,1.0,( šutu I | šutušu₂ paatnanu )
,{tu₁₅}U₁₈.LU,1,0.0,1.0,( U I | SAG.KI KI.TA {tu₁₅}U₁₈.LU adi AMEŠ ša₂ E₂ MUMEŠ )
,{d}{im}U₁₈,1,0.0,1.0,( U I | MUL {d}{im}U₁₈ {d}{im}SI.SA {d}{im}KUR {d}{im}MAR )
,{im}DIŠ,1,0.0,1.0,( DIŠ I | {im}DIŠ [MASK] ina {iti}ZIZ₂ [MASK] ultu {d}GAŠAN )
,{im}U₁₉,1,0.0,1.0,( U I | DIŠ DUNGU BABBAR AN.UR₂ irim {im}U₁₉ DUNGU inakam₂ma ŠEG₃ )
mala I,8,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,mali,1,0.0,1.0,( mālu I )
,mala,1,0.0,1.0,( mālu I | [MASK] mala )
,mal,1,0.0,1.0,( mal I | daalpaate mal atammaru mahraki )
,mal₂,1,0.0,1.0,( mal I | ina {iti}ŠE mal₂ u₂ṣaammaru KURad₂ )
,malaka,1,0.0,1.0,( malāku I | u₂tammekunuši kibsu šubtu₄ manzaza malaka u )
,maal,1,0.0,1.0,( mālu I | [MASK] maal šumu nabuu miinu ide )
