lemma, CV, distance
ina I,i+na,3
ina I,in,3
ina I,iṣeer,4
ina I,i,4
ina I,iṣṣe₂riia,8
ina I,ingiippi,6
ina I,ana,3
ina I,iṣe₂er,5
ina I,TA,5
ina I,iṣe₂ria,6
ina I,i₃na,3
ina I,ina+kalli,6
ina I,ikisi₂a,6
kakku I,{giš}TUKUL,10
kakku I,{giš}TUKULME,12
kakku I,kakka,3
kakku I,kakki,3
kakku I,{giš}TUKULMEŠšu₂nu,17
kakku I,{giš}TUKULMEŠ,13
kakku I,{giš}TUKULMEŠšu₂,16
kakku I,{giš}TUKULMEŠkunu,15
kakku I,{giš}TUKULšu₂,13
kakku I,{giš}TUKULka,12
kakku I,{giš}kakkika,8
kakku I,{giš}TUKULMEŠka,15
kakku I,GIŠ.TUKUL.MEŠka,15
kakku I,GIŠ.TUKULMEŠka,14
kakku I,kakkaka,3
kakku I,kakkiia,3
kakku I,kaak,4
kakku I,{gis}TUKUL,10
kakku I,kakkašu₂,4
kakku I,kakkišu₂,4
kakku I,GIŠ.TUKUL,9
kakku I,kaakkašu,4
kakku I,kaakka,4
kakku I,kaakki,4
kakku I,{giš}TUKULMEŠia,15
kakku I,kakkum,2
mēlultu I,melulti,4
mēlultu I,milulati,5
mēlultu I,melulta,4
mēlultu I,milulti,4
Ištar I,{d}15,7
Ištar I,{dingir}iš₈tar₃,12
Ištar I,{d}INANNA,9
Ištar I,{d}+INANA,9
Ištar I,{d}iš₈tar₂,7
Ištar I,{d}+INNIN,8
Ištar I,INANAKAM@v,9
Ištar I,{d}INNIN,7
Ištar I,{d}INANA,8
Ištar I,eš₁₈tar₂,5
Ištar I,{d}U+DAR,8
Ištar I,iš₈tar₂,4
Ištar I,EŠ₄.TAR₂,8
Ištar I,EŠ₄.DAR,7
Ištar I,{d}+INANNA,10
Ištar I,{d}+INNINTIN.TIR{ki},18
lā I,NU,4
lā I,la(LU),5
lā I,la₃,3
lā I,NU₃,4
lā I,la₂,3
lā I,GIŠ₃.NU.ZU,10
lā I,laa,3
lā I,GEŠ₃.NU.ZU,10
lā I,NU.ZU,5
lā I,BA.RA,5
lā I,NU.ŠE.GA,8
lā I,MUNUS.NU.SI.SA₂,14
lā I,la+a,3
lā I,IGI.NU.TUKU,11
bēlu I,belu₄,3
bēlu I,beli₃,4
bēlu I,EN,6
bēlu I,ENia,6
bēlu I,ENšu₂,5
bēlu I,{d}+EN,6
bēlu I,beli₂ia₂,6
bēlu I,beli,4
bēlu I,{d}EN,6
bēlu I,beel,5
bēlu I,EN.EN,6
bēlu I,belu,3
bēlu I,belum,3
bēlu I,beli₂šu,5
bēlu I,beli₂ia,5
bēlu I,ENka,6
bēlu I,ENMEŠ,6
bēlu I,ENia₂,6
bēlu I,beelšu₂,5
bēlu I,ENBI,5
bēlu I,ENšu₂un,6
bēlu I,belišu₂,5
bēlu I,beliia,4
bēlu I,be₂eli₂ia,7
bēlu I,be₂eli₂,6
bēlu I,ENu₂a,5
bēlu I,belika,4
bēlu I,ENiaama,7
bēlu I,ENni,6
bēlu I,beelkama,6
bēlu I,ENMEŠe,6
bēlu I,{lu₂}EN.NAM,10
bēlu I,beli₂šu₂,6
bēlu I,belašu,4
bēlu I,ENa,6
bēlu I,ENšu₂nu,6
bēlu I,bela,4
bēlu I,ENURUMEŠ,8
bēlu I,LUGAL.A.NI.IR,12
bēlu I,{lu₂}ENdababi,12
bēlu I,ENšunu,5
bēlu I,bele₂ku,5
bēlu I,ENšu,5
bēlu I,ENMEŠšu₂,8
bēlu I,{m}{d}+ENDINiṭ,13
bēlu I,UMUNšu₂,7
bēlu I,be₂li,5
bēlu I,beelka,5
bēlu I,{d}ENE₂.KUR,11
bēlu I,{d}+ENE₂.GAL,12
bēlu I,LUGAL.A.NE₂.ER,14
bēlu I,ENME,6
bēlu I,beelkaama,7
bēlu I,ENu₂šu₂,7
bēlu I,ENkunu,5
bēlu I,{m}{d}ENDADU₃.A.BI,17
bēlu I,ENini,6
bēlu I,{d}UMUN,7
bēlu I,ENE₂ma,6
bēlu I,ENE₂,6
bēlu I,beli₂;ni,6
bēlu I,belani,4
bēlu I,beelša₂,5
bēlu I,ENša₂,6
bēlu I,{d}+ENia₂,9
bēlu I,beli₂šu₂nu,7
