GPT_4_MINI_Small_Batch_Freq_to_Infreq_1
Statistical analysis:
Total Guesses:,95
Total Akkadian Guesses:,95
Total Correct Akkadian Guesses:,9,Percent Correct Guesses:,0.09473684210526316
Total Incorrect Akkadian Guesses:,86,Percent Incorrect Guesses:,0.9052631578947369
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,training with statements and questions in small batches of 4 lemmas. between batches, alternate between only questions and only statements. train on frequent then infrequent batches. give only context as example sentence. for training: 30 high frequency, 50 low frequency, all sumerian/emesal. test batch size = 20. no small mistake correction, no common mistake correction, but negative reinforcement used in training. Example sentence masks turned off.
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
ēkallu I,23,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,E₂.GALia,1,0.0,1.0,( bītu I | ina E₂.GALia u ibša₂ama )
,E₂.GAL,1,0.0,1.0,( bītu I | E₂.GAL MAN ŠU₂ MAN KUR )
,E₂.GALšu₂,1,0.0,1.0,( bītu I | BE KI.TA IGI LUGAL ina E₂.GALšu₂ SIG₅iq )
,E₂GALšu₂,1,0.0,1.0,( bītu I | qe₂reb E₂GALšu₂ )
,KUR,1,0.0,1.0,( mātu I | KUR MAN ŠU₂ MAN {kur}AN.ŠAR₂{ki} )
,E₂.GALMEŠ,1,0.0,1.0,( bītu I | DIŠ hepi₂ u E₂.GALMEŠ IGIMEŠ )
,E₂.GALMU,1,0.0,1.0,( bītu I | tamarti qe₂reb E₂.GALMU u₂kin )
,E₂.GALlim,1,0.0,1.0,( bītu I | E₂.GALlim ŠE )
,E₂.GALam,1,0.0,1.0,( bītu I | E₂.GALam kabtaam )
,E₂.GALšu,1,0.0,1.0,( bītu I | E₂.GALšu DABma umtaššar NUNMEŠ ina MU BI )
,E₂.GALka,1,0.0,1.0,( bītu I | E₂.GALka )
,E₂.GAL{lum},1,0.0,1.0,( bītu I | U₄{um} E₂.GAL{lum} )
,E₂.GALBI,1,0.0,1.0,( bītu I | GAL IGIir NIG₂.ŠU E₂.GALBI )
,E₂.GALlika,1,0.0,1.0,( bītu I | E₂.GALlika )
,E₂.GALGU₁₀,1,0.0,1.0,( bītu I | HUL A₂MEŠ GISKIMMEŠ HULMEŠ NU DU₁₀MEŠ ša₂ ina E₂.GALGU₁₀ u KURGU₁₀ GAL₂a )
,E₂.GALMEŠšu₂,1,0.0,1.0,( bītu I | E₂.GALMEŠšu₂ )
,ekal,1,0.0,1.0,( ekal I | ana mahar ekal {d}UTUši panišu₂ šu₂kunma )
,E₂GALia,1,0.0,1.0,( bītu I | ana šitaassiia qe₂rib E₂GALia )
,E₂.GALya,1,0.0,1.0,( bītu I | ana tamarti šitaassiya E₂.GALya u₂kin )
,E₂GALMU,1,0.0,1.0,( bītu I | A₂MEŠ GISKIMMEŠ HULMEŠ DUG₃MEŠ ša₂ ina E₂GALMU GAL₂a )
,E₂.GAL{lim},1,0.0,1.0,( bītu I | ša ana tiir E₂.GAL{lim} )
,E₂.GALia₂,1,0.0,1.0,( bītu I | tamarti šitasiia₂ E₂.GALia₂ u₂kin )
,E₂.GALia₅,1,0.0,1.0,( bītu I | ina E₂.GALia₅ u GAL₂a GIG dannu )
dalālu II,12,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ludlul,1,0.0,1.0,( ludlul I | luša₂pi da₃li₂li₂ka ludlul )
