GPT_4_MINI_Small_Batch_Freq_to_Infreq_10
Statistical analysis:
Total Guesses:,153
Total Akkadian Guesses:,153
Total Correct Akkadian Guesses:,13,Percent Correct Guesses:,0.08496732026143791
Total Incorrect Akkadian Guesses:,140,Percent Incorrect Guesses:,0.9150326797385621
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,training with statements and questions in small batches of 4 lemmas x28. between batches, alternate between only questions and only statements. train on frequent then infrequent batches. give only context as example sentence. for training: 32 high frequency, 24 low frequency, all sumerian/emesal. test batch size = 30. small mistake correction (thresh 3), common mistake correction (thresh 3), and negative reinforcement used in training. Example sentence masks turned on.
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
šaṭāru II,57,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,SARma,1,0.0,1.0,( SAR I | DUB U₄ AN {d}+en.lil₂ kii [MASK] {giš}LE.U₅.UM [MASK] KA₂.DIGIR.RA{ki} SARma BA.AN.E₃ )
,aš₂ṭur,1,0.0,1.0,( ašû I | u {d}gula mala baaš₂mu ina ṭuppaani aš₂ṭur asniq IGI.KAR₂ma )
,ša₂ṭirma,1,0.0,1.0,( ṭirru I | kii pii [MASK] GABA.RI [MASK] ša₂ṭirma )
,ša₂ṭir,1,0.0,1.0,( ṭāru I | ša₂ṭir u₂il₃ti₃ )
,išṭur,1,0.0,1.0,( ištaru I | išṭur isniq )
,šaṭṭir,1,0.0,1.0,( šaṭṭu I | kii pii {giš}leu₅um GABA.RI KA₂.DINGIR.RA{ki} šaṭṭir )
,AB.SAR,1,0.0,1.0,( AB I | LIBIR.RABIGIM AB.SAR BA.AN.E₃ )
,ša₃ṭirma,1,0.0,1.0,( ṭirru I | [MASK] ša₃ṭirma bari₃ )
,ša₂ṭiirma,1,0.0,1.0,( ṭiiru I | ša₂ṭiirma baar₂ )
,AB.SARAM₃,1,0.0,1.0,( AB.SARAM I | ana tamartišu₂ issuha AB.SARAM₃ BA.AN.E₃ ṭuppi {m}{d}AGzuquupGI.NA DUMU {m}{d}AMAR.UTUMUBAša₂ {lu₂}DUB.SAR )
,šaṭru,1,0.0,1.0,( šaṭru I | u₃ U₂HI.A ša₂ adi 2šu₂ 3šu₂ šaṭru )
,AB.SAR.AM₃,1,0.0,1.0,( AB.SAR I | AB.SAR.AM₃ BA.AN.E₃ qereb u₂kin )
,IN.SARma,1,0.0,1.0,( IN.SAR I | ša {m}{d}ša₃maš₂ŠUM₂na DUMU {lu₂}SANGA{d}ninurta IN.SARma ibriim )
,IN.SAR,1,0.0,1.0,( IN I | {lu₂}GALA {d}LUGAL{giš}ASAL₂ ana IGI.DU₈.Ašu₂ IN.SAR ibriim )
,šuṭur,1,0.0,1.0,( šuṭu I | [MASK] [MASK] šuṭur )
,išaṭṭaru,1,0.0,1.0,( išaṭṭaru I | ša₂ TUM₃ u₃ lu MUšu₂ itti [MASK] išaṭṭaru )
,AB.SARma,1,0.0,1.0,( AB.SAR I | kii pii {giš}LE.U₅.UM {giš}ŠUR.MIN₃ [MASK] AB.SARma BA.AN.E₃ )
,tašaṭṭar₂,1,0.0,1.0,( tašaṭṭaru I | u₃ aš₂bat ina muhhi [MASK] tanamdi [MASK] šiṭir tašaṭṭar₂ )
,aš₂ṭur₃,1,0.0,1.0,( ašû I | [MASK] aš₂ṭur₃ )
,SARru,1,0.0,1.0,( šarru I | ša IRlu₄ u₃ MUšu₂ KI MUia SARru )
