GPT_4_MINI_Small_Batch_Freq_to_Infreq_9
Statistical analysis:
Total Guesses:,95
Total Akkadian Guesses:,93
Total Correct Akkadian Guesses:,7,Percent Correct Guesses:,0.07526881720430108
Total Incorrect Akkadian Guesses:,86,Percent Incorrect Guesses:,0.9247311827956989
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,training with statements and questions in small batches of 4 lemmas x24. between batches, alternate between only questions and only statements. train on frequent then infrequent batches. give only context as example sentence. for training: 32 high frequency, 16 low frequency, all sumerian/emesal. test batch size = 20. no small mistake correction, no common mistake correction, but negative reinforcement used in training. Example sentence masks turned on.
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
nīqu I,28,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,SISKUR₂,1,0.0,1.0,( SISKUR I | UDU.NITA₂ SISKUR₂ BALqi₂ma miihha zakuu₂ ana SAG.DU )
,UDU.SISKUR₂,1,0.0,1.0,( UDU I | NIG₂.NA {šim}LI GARan ŠE.NUMUN DUBaq UDU.SISKUR₂ BALqi₂ )
,{udu}SISKUR,1,0.0,1.0,( SISKUR I | {udu}SISKUR DU₃uš {uzu}ZAG [MASK] tuṭahha KAŠ BALqi₂ GIŠ.GAN₂ {giš}MA₂.EREŠ₄{eš}.MA₂lee )
,{udu}SISKUR₂,1,0.0,1.0,( târum | {udu}SISKUR₂ BALqi₂ )
,{udu}SIŠKUR₂,1,0.0,1.0,( SIŠKUR I | {giš}TUKUL.SAG.NA₄ ina IGI KEŠDA tušzaza {udu}SIŠKUR₂ BALqi₂ )
,SIŠKUR₂,1,0.0,1.0,( šarru I | ½ GIN₂ ana šime 1en UDU.NITA₂ SIŠKUR₂ )
,UDU.SIŠKUR₂,1,0.0,1.0,( UDU I | [MASK] UDU.SIŠKUR₂ taqtuu₂ )
,niqa₂ka,1,0.0,1.0,( niqû I | [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] niqa₂ka )
,niqaka,1,0.0,1.0,( niqaqa I | [MASK] [MASK] [MASK] [MASK] [MASK] ana niqaka u₄mišu₂ )
,SIŠKUR₂MEŠ,1,0.0,1.0,( šarru I | ⅓ [MASK] ½ GIN₂ ana [MASK] [MASK] UDU.NITA₂ SIŠKUR₂MEŠ šalmattu₂ )
,niqi₂,1,0.0,1.0,( niqu I | ina niqi₂ LUGAL milu₄ )
,UDU.SISKUR,1,0.0,1.0,( UDU I | BALqi₂ EGIR [MASK] U₂ KIRI₆ DUBak UDU.SISKUR BALqi₂ )
,niiq,1,0.0,1.0,( niq I | niiq šarri₃ GU₄ NIGAMEŠ )
,niquu,1,0.0,1.0,( niqu I | ul [MASK] niquu ul BALqi₂ LUGAL {giš}GIGIR ul )
,SISKUR,1,0.0,1.0,( târum | ina ŠEŠe KEŠ₂ka [MASK] [MASK] SISKUR )
,niqe₂e,1,0.0,1.0,( niqû I | [MASK] niqe₂e BALqi₂ niš ŠUšu₂ KI DINGIR )
,niqi,1,0.0,1.0,( niq I | [MASK] kiššat beli₂ ser₂qi₂ maaṣhati niqi u zibi )
,niqu,1,0.0,1.0,( niqu I | [MASK] [MASK] niqu )
,niqaa,1,0.0,1.0,( niqû I | aqqi₂kunuši niqaa ellu )
,niqee,1,0.0,1.0,( niqû I | niqee BALqi₂ ana {d}UTU {d}IŠKUR )
,niqi₂i,1,0.0,1.0,( niqītu I | niqi₂i ilu [MASK] [MASK] [MASK] lemne₂et )
,{udu}SIŠKUR,1,0.0,1.0,( šarru I | EN kabtu ina {udu}SIŠKUR [MASK] izizzaamma )
,UDU.SISKURMEŠ,1,0.0,1.0,( UDU I | [MASK] UDU.SISKURMEŠ tamqi₂su )
,SIZKUR₂,1,0.0,1.0,( SIZKUR I | GI.DU₈ [MASK] SIZKUR₂ BALqi₂ )
,UDU.SIZKUR₂,1,0.0,1.0,( UDU I | UDU.SIZKUR₂ BALqi₂ KEŠDA )
,SIZKURHI.A,1,0.0,1.0,( târum | liqbuu₂ SIZKURHI.A )
,{udu.nita₂}SISKUR₂,1,0.0,1.0,( SISKUR I | KEŠDAas {udu.nita₂}SISKUR₂ ŠU.DU₇MEŠ )
,{udu}SISKURMEŠ,1,0.0,1.0,( SISKUR I | šum₄ma SILIMti LUGAL ina ŠA₃ {udu}SISKURMEŠ DU₃šu₂nu )
markasu I,7,0.42857142857142855,0.5714285714285714
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,markas,1,0.0,1.0,( markas I | NUNUZ sikkatuua ebli markas GADA namru )
,markasu,1,1.0,0.0,
,markas₃,1,0.0,1.0,( markas I | markas₃ lal₃gar )
,markas₂,1,0.0,1.0,( markas I | [MASK] [MASK] [MASK] daltu₂ sikkur markas₂ ša₂ la paṭari liklušu₂ )
,markas₃su,1,1.0,0.0,
,markaassu,1,0.0,1.0,( markāsu I | [MASK] gamirtu₂ markaassu mam₂ma ul )
,markassunu,1,1.0,0.0,
hamāṭu II,16,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,u₂šahmaṭ,1,0.0,1.0,( šahmu I | [MASK] 1niš u₂šahmaṭ )
,liihmuuṭ,1,0.0,1.0,( māru I )
,ihamuṭam,1,0.0,1.0,( ašru III | aṣṣeriia ihamuṭam )
,ihmuṭamma,1,0.0,1.0,( māru I | {d}30 ihmuṭamma [MASK] ittaʾdar AN.GE₆ )
,TABma,1,0.0,1.0,( TAB I | [MASK] TABma ana )
