GPT_4_Mini_Small_Batch_Freq_to_Infreq_18
Statistical analysis:
Total Guesses:,117
Total Akkadian Guesses:,117
Total Correct Akkadian Guesses:,4,Percent Correct Guesses:,0.03418803418803419
Total Incorrect Akkadian Guesses:,113,Percent Incorrect Guesses:,0.9658119658119658
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,same as gpt_mini small batch test 8 except: testsize = 30
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'guess', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
mūtānu I,15,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,UŠ₂MEŠ,1,0.0,1.0,( ušum I | [MASK] {iti}NE UŠ₂ GAL₂ši [MASK] DIŠ ina {iti}KIN UŠ₂MEŠ ina KUR )
,UŠ₂.UŠ₂,1,0.0,1.0,( ušum I | IGI.DU₈.A MULMEŠ NIGINat₂ UŠ₂.UŠ₂ ina KUR GAL₂MEŠ [MASK] GARMEŠ )
,NAM.UŠ₂MEŠ,1,0.0,1.0,( namû I | diʾu NAM.UŠ₂MEŠ NU TEMEŠšu₂ U₂ BABBAR {šim}LI ina I₃.GIŠ )
,NAM.UŠ₂,1,0.0,1.0,( namû I | [MASK] [MASK] NAM.UŠ₂ ME₃ )
,UŠ₂ME,1,0.0,1.0,( ušum I | [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] UŠ₂ME ina KUR [MASK] [MASK] LUGAL KUR URI{ki} )
,UG₇MEŠ,1,0.0,1.0,( uggu I | DIŠ [MASK] TILit KUR UG₇MEŠ [MASK] URU )
,BADMEŠ,1,0.0,1.0,( bad I | [MASK] ina KUR GAL₂ [MASK] BADMEŠ ina [MASK] GAL₂MEŠ )
,GIGMEŠ,1,0.0,1.0,( gig I | [MASK] [MASK] BI SIG₇ ŠUBti₃ ERIN₂šu₂ ina [MASK] [MASK] [MASK] GIGMEŠ [MASK] ina KUR BI )
,mutanu,1,0.0,1.0,( mutu I | {mul}UZ₃ [MASK] maʾdiš saamu mutanu )
,UG₇ME,1,0.0,1.0,( ugme I | [MASK] tebi SU.GU₇ u UG₇ME ina )
,mutanim,1,0.0,1.0,( mutu I | KA.INIM.MA mutanim )
,UŠ₂.MEŠ,1,0.0,1.0,( ušum I | [MASK] BURU₁₄ SI.SA₂ UŠ₂.MEŠ GAL₂.MEŠ )
,UG₅MEŠ,1,0.0,1.0,( ugallu I | [MASK] [MASK] [MASK] tukultu₄ E₂ erṣetu₄ ašib dannu [MASK] UG₅MEŠ )
,mutani,1,0.0,1.0,( mūt I | ZAGka ina mutani ša₂ ittika )
,NAM.UG₇MEŠ,1,0.0,1.0,( namû I | [MASK] [MASK] GAZma NU GU₇ ina URU BI NAM.UG₇MEŠ GAL₂MEŠ )
rēštû I,12,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,SAG,1,0.0,1.0,( sag I | LAL₃ KURi ina SAG [MASK] {šim}HAB ina KAŠ.SAG ŠEG₆.GA₂ ana DUR₂šu₂ DUBak PA {giš}GE₆.PAR₃ {šim}LI {šim}KU₇.KU₇ )
,reštuu₂,1,0.0,1.0,( reštum I | [MASK] reštuu₂ ša₂ )
,reštuu,1,0.0,1.0,( reštû I | [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] reštuu ša₂ [MASK] talimat )
,reštii,1,0.0,1.0,( reštu I | [MASK] [MASK] reštii mina )
,reštitu₄,1,0.0,1.0,( reštû I | [MASK] martu₄ reštitu₄ )
,reeštuu₂,1,0.0,1.0,( reeštu I | [MASK] reeštuu₂ )
,reeštaa,1,0.0,1.0,( reeštā I | asruqka siriq GI₆ ellu aqqi₂ka reeštaa šikar )
,reštiti,1,0.0,1.0,( reštû I | [MASK] [MASK] [MASK] reštiti )
,reštutu,1,0.0,1.0,( reštutu I | DIŠ MUL₄MEŠšu₂ reštutu ittanaanbaṭuma )
,rešti,1,0.0,1.0,( reštum I | I₃.UDU rešti )
,reštitu,1,0.0,1.0,( reštitu I | {iti}DIRI.ŠE ana DUMU.MUNUS reštitu qarittu₄ naramti DINGIRMEŠ ŠEŠMEŠša₂ )
,reeštu,1,0.0,1.0,( reeš I | [MASK] [MASK] DUMU reeštu )
ummiānu I,13,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,UM.ME.A,1,0.0,1.0,( umû I | [MASK] UM.ME.A )
,{lu₂}UM.ME.A,1,0.0,1.0,( umû I | u [MASK] KA [MASK] {lu₂}UM.ME.A ša₂ )
,ummanni,1,0.0,1.0,( ummu I | ummanni ne₂šakku ŠEŠ.GALu₂ u₃ )
,ummaani,1,0.0,1.0,( umma I | GABA.RI {kur}AN.ŠAR₂{ki} ana tamarti ŠAMAN₂.LA₂MEŠ u taphurti ummaani )
,{lu₂}UM.ME.AMEŠ,1,0.0,1.0,( umamu I | [MASK] {d}AMAR.UTU [MASK] GALu₂ ENia₂ [MASK] {lu₂}UM.ME.AMEŠ annutu₂ [MASK] [MASK] [MASK] [MASK] DUMU )
,{lu₂}ummannu,1,0.0,1.0,( ummânu I | tarṣi [MASK] LUGAL [MASK] {m}IDIMil(MAH*){d}ŠU₂(MAŠ*) {lu₂}ummannu )
,{lu₂}ummanu,1,0.0,1.0,( ummânu I )
,ummana,1,0.0,1.0,( ummu I | [MASK] [MASK] [MASK] ummana šemi )
