Lemma, CV1, CV2, distance
ina I,ina,ina,0
ina I,ina,i+na,1
ina I,ina,in,1
ina I,ina,iṣeer,4
ina I,ina,i,2
ina I,ina,iṣṣe₂riia,7
ina I,ina,ingiippi,6
ina I,ina,ana,1
ina I,ina,iṣe₂er,5
ina I,ina,TA,3
ina I,ina,iṣe₂ria,5
ina I,ina,i₃na,1
ina I,ina,ina+kalli,6
ina I,ina,ikisi₂a,5
tamhuṣu I,tamhuuṣ,tamhuuṣ,0
kakku I,kakku,kakku,0
kakku I,kakku,{giš}TUKUL,10
kakku I,kakku,{giš}TUKULME,12
kakku I,kakku,kakka,1
kakku I,kakku,kakki,1
kakku I,kakku,{giš}TUKULMEŠšu₂nu,17
kakku I,kakku,{giš}TUKULMEŠ,13
kakku I,kakku,{giš}TUKULMEŠšu₂,15
kakku I,kakku,{giš}TUKULMEŠkunu,15
kakku I,kakku,{giš}TUKULšu₂,12
kakku I,kakku,{giš}TUKULka,11
kakku I,kakku,{giš}kakkika,8
kakku I,kakku,{giš}TUKULMEŠka,14
kakku I,kakku,GIŠ.TUKUL.MEŠka,14
kakku I,kakku,GIŠ.TUKULMEŠka,13
kakku I,kakku,kakkaka,3
kakku I,kakku,kakkiia,3
kakku I,kakku,kaak,2
kakku I,kakku,{gis}TUKUL,10
kakku I,kakku,kakkašu₂,3
kakku I,kakku,kakkišu₂,3
kakku I,kakku,GIŠ.TUKUL,9
kakku I,kakku,kaakkašu,3
kakku I,kakku,kaakka,2
kakku I,kakku,kaakki,2
kakku I,kakku,{giš}TUKULMEŠia,15
kakku I,kakku,kakkum,1
mēlultu I,melultu₄,melultu₄,0
mēlultu I,melultu₄,melulti,2
mēlultu I,melultu₄,milulati,4
mēlultu I,melultu₄,melulta,2
mēlultu I,melultu₄,milulti,3
Ištar I,{d}ištar,{d}ištar,0
Ištar I,{d}ištar,{d}15,5
Ištar I,{d}ištar,{dingir}iš₈tar₃,7
Ištar I,{d}ištar,{d}INANNA,6
Ištar I,{d}ištar,{d}+INANA,6
Ištar I,{d}ištar,{d}iš₈tar₂,2
Ištar I,{d}ištar,{d}+INNIN,6
Ištar I,{d}ištar,INANAKAM@v,10
Ištar I,{d}ištar,{d}INNIN,5
Ištar I,{d}ištar,{d}INANA,5
Ištar I,{d}ištar,eš₁₈tar₂,6
Ištar I,{d}ištar,{d}U+DAR,5
Ištar I,{d}ištar,iš₈tar₂,5
Ištar I,{d}ištar,EŠ₄.TAR₂,8
Ištar I,{d}ištar,EŠ₄.DAR,8
Ištar I,{d}ištar,{d}+INANNA,7
Ištar I,{d}ištar,{d}+INNINTIN.TIR{ki},17
lā I,la,la,0
lā I,la,NU,2
lā I,la,la(LU),4
lā I,la,la₃,1
lā I,la,NU₃,3
lā I,la,la₂,1
lā I,la,GIŠ₃.NU.ZU,10
lā I,la,laa,1
lā I,la,GEŠ₃.NU.ZU,10
lā I,la,NU.ZU,5
lā I,la,BA.RA,5
lā I,la,NU.ŠE.GA,8
lā I,la,MUNUS.NU.SI.SA₂,15
lā I,la,la+a,2
lā I,la,IGI.NU.TUKU,11
bēlu I,beli₂,beli₂,0
bēlu I,beli₂,belu₄,2
bēlu I,beli₂,beli₃,1
bēlu I,beli₂,EN,5
bēlu I,beli₂,ENia,4
bēlu I,beli₂,ENšu₂,4
bēlu I,beli₂,{d}+EN,6
bēlu I,beli₂,beli₂ia₂,3
bēlu I,beli₂,beli,1
bēlu I,beli₂,{d}EN,5
bēlu I,beli₂,beel,3
bēlu I,beli₂,EN.EN,5
bēlu I,beli₂,belu,2
bēlu I,beli₂,belum,2
bēlu I,beli₂,beli₂šu,2
bēlu I,beli₂,beli₂ia,2
bēlu I,beli₂,ENka,5
bēlu I,beli₂,ENMEŠ,5
bēlu I,beli₂,ENia₂,4
bēlu I,beli₂,beelšu₂,3
bēlu I,beli₂,ENBI,5
bēlu I,beli₂,ENšu₂un,6
bēlu I,beli₂,belišu₂,2
bēlu I,beli₂,beliia,2
bēlu I,beli₂,be₂eli₂ia,4
bēlu I,beli₂,be₂eli₂,2
bēlu I,beli₂,ENu₂a,5
bēlu I,beli₂,belika,2
bēlu I,beli₂,ENiaama,7
bēlu I,beli₂,ENni,4
bēlu I,beli₂,beelkama,5
bēlu I,beli₂,ENMEŠe,6
bēlu I,beli₂,{lu₂}EN.NAM,10
bēlu I,beli₂,beli₂šu₂,3
bēlu I,beli₂,belašu,3
bēlu I,beli₂,ENa,5
bēlu I,beli₂,ENšu₂nu,6
bēlu I,beli₂,bela,2
bēlu I,beli₂,ENURUMEŠ,8
bēlu I,beli₂,LUGAL.A.NI.IR,13
bēlu I,beli₂,{lu₂}ENdababi,12
bēlu I,beli₂,ENšunu,6
bēlu I,beli₂,bele₂ku,3
bēlu I,beli₂,ENšu,5
bēlu I,beli₂,ENMEŠšu₂,7
bēlu I,beli₂,{m}{d}+ENDINiṭ,13
bēlu I,beli₂,UMUNšu₂,6
bēlu I,beli₂,be₂li,2
bēlu I,beli₂,beelka,3
bēlu I,beli₂,{d}ENE₂.KUR,10
bēlu I,beli₂,{d}+ENE₂.GAL,11
bēlu I,beli₂,LUGAL.A.NE₂.ER,13
bēlu I,beli₂,ENME,5
bēlu I,beli₂,beelkaama,6
bēlu I,beli₂,ENu₂šu₂,6
bēlu I,beli₂,ENkunu,6
bēlu I,beli₂,{m}{d}ENDADU₃.A.BI,18
bēlu I,beli₂,ENini,5
bēlu I,beli₂,{d}UMUN,7
bēlu I,beli₂,ENE₂ma,6
bēlu I,beli₂,ENE₂,4
bēlu I,beli₂,beli₂;ni,3
bēlu I,beli₂,belani,3
bēlu I,beli₂,beelša₂,3
bēlu I,beli₂,ENša₂,4
bēlu I,beli₂,{d}+ENia₂,7
bēlu I,beli₂,beli₂šu₂nu,5
bēlu I,beli₂,{lu₂}ENMEŠ,9
bēlu I,beli₂,LUGAL,5
bēlu I,beli₂,beli₂ša,2
bēlu I,beli₂,beelu,3
bēlu I,beli₂,EN.E,5
bēlu I,beli₂,beli₂ia₃,3
bēlu I,beli₂,beelni,3
bēlu I,beli₂,ENani,5
bēlu I,beli₂,{m}ENKURua,10
ana I,ana,ana,0
ana I,ana,ina,1
ana I,ana,an,1
ana I,ana,a,2
ana I,ana,amala₂,4
ana I,ana,aṣṣeriia,6
ana I,ana,{m}ana,3
ana I,ana,DIŠ,3
ana I,ana,akunušiimma,8
ana I,ana,ŠE₃,3
