lemma, CV, distance
ina,ina,0
ina,i-na,1
ina,i+na,1
ina,in,1
ina,iṣeer,4
ina,na,1
ina,i,2
ina,iṣṣe₂riia,7
ina,ingiippi,6
ina,ana,1
ina,iṣe₂er,5
ina,TA,3
ina,iṣe₂ria,5
ina,i₃na,1
ina,ina+kalli,6
ina,ikisi₂a,5
kakku,{giš}TUKUL,10
kakku,{giš}TUKULME,12
kakku,kakka,1
kakku,kakki,1
kakku,{giš}TUKULMEŠšu₂nu,17
kakku,{giš}TUKULMEŠ,13
kakku,{giš}TUKULMEŠšu₂,15
kakku,{giš}TUKULMEŠkunu,15
kakku,{giš}TUKULšu₂,12
kakku,{giš}TUKULka,11
kakku,{giš}kakkika,8
kakku,{giš}TUKULMEŠka,14
kakku,GIŠ.TUKUL.MEŠka,14
kakku,GIŠ.TUKULMEŠka,13
kakku,kakkaka,3
kakku,kakkiia,3
kakku,kaak,2
kakku,{gis}TUKUL,10
kakku,kakkašu₂,3
kakku,kakkišu₂,3
kakku,GIŠ.TUKUL,9
kakku,kaakkašu,3
kakku,kaakka,2
kakku,kaakki,2
kakku,{giš}TUKULMEŠia,15
kakku,kakkum,1
mēlultu,melulti,2
mēlultu,milulati,3
mēlultu,melulta,2
mēlultu,milulti,2
Ištar,{d}15,5
Ištar,{dingir}iš₈tar₃,11
Ištar,{d}INANNA,8
Ištar,{d}+INANA,8
Ištar,{d}iš₈tar₂,6
Ištar,{d}+INNIN,8
Ištar,INANAKAM@v,9
Ištar,{d}INNIN,7
Ištar,(d)-iš₈-tár,8
Ištar,{d}INANA,7
Ištar,eš₁₈tar₂,4
Ištar,{d}U+DAR,8
Ištar,iš₈tar₂,3
Ištar,EŠ₄.TAR₂,8
Ištar,EŠ₄.DAR,7
Ištar,{d}+INANNA,9
Ištar,{d}+INNINTIN.TIR{ki},19
lā,NU,2
lā,la(LU),5
lā,la₃,2
lā,NU₃,3
lā,la₂,2
lā,GIŠ₃.NU.ZU,10
lā,laa,2
lā,GEŠ₃.NU.ZU,10
lā,NU.ZU,5
lā,BA.RA,5
