GPT_4_Mini_Small_Batch_Freq_to_Infreq_16
Statistical analysis:
Total Guesses:,193
Total Akkadian Guesses:,193
Total Correct Akkadian Guesses:,6,Percent Correct Guesses:,0.031088082901554404
Total Incorrect Akkadian Guesses:,187,Percent Incorrect Guesses:,0.9689119170984456
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,4 mini test 8, but with, positive reinforcement, 32 frequent lemmas, 12 batches of 4, with common mistake correction (4 thresh) and small mistake correction (3 thresh). testsize = 30
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'guess', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
petû II,58,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ipte,1,0.0,1.0,( iptu I | DUNGU ina [MASK] [MASK] [MASK] [MASK] [MASK] ipte )
,ippeettu,1,0.0,1.0,( ippe I | edlu ippeettu pe(ep)tuu inne₂dil )
,pe(ep)tuu,1,0.0,1.0,( peṭu I | edlu ippeettu pe(ep)tuu inne₂dil )
,patee,1,0.0,1.0,( pātu I | KAka ana patee )
,ipti,1,0.0,1.0,( iptu I | [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] ipti )
,BADma,1,0.0,1.0,( bad I | DIŠ kišubbaa BADma ana A.ŠA₃ )
,ipeettakunuši,1,0.0,1.0,( ipeettakunu I | KA₂šu₂nu edla mannuumma ša₂ ipeettakunuši iriiš mara iriiš mara TU₆ EN₂ )
,BEma,1,0.0,1.0,( bēma I | izbu ELLAG₂ 15šu₂ BEma [MASK] IGIMEŠ KUR₂ [MASK] KARʾma KUR NUN BIRah NIG₂.ŠUšu₂ KUR₂ )
,BADte,1,0.0,1.0,( bad I | [MASK] GIM [MASK] [MASK] [MASK] [MASK] GAZ ina E₂ BI KI.MAH BADte )
,BADMEŠ,1,0.0,1.0,( bad I | [MASK] [MASK] [MASK] [MASK] BADMEŠ )
,pituu₂,1,0.0,1.0,( pitu I | belu₄ munammir ekleti pituu₂ panu [MASK] hepi₂ eššu₂ )
,BADu₂,1,0.0,1.0,( bādu I | [MASK] ID₂MEŠ BADu₂ miṭraate )
,tupatti,1,0.0,1.0,( tupattu I | edluti sikkur ANe tupatti )
,petaat,1,0.0,1.0,( peta I | [MASK] magal [MASK] petaat [MASK] [MASK] [MASK] [MASK] {d}GU₄.UD )
,apte,1,0.0,1.0,( apte I | angima apte E₂ )
,petaa,1,0.0,1.0,( petu I | U₈ UR.MAH [MASK] IGIMEŠšu₂ hiimṣa armu IGIMEŠšu₂ petaa KI.LAM )
,BAD,1,0.0,1.0,( bad I | DIŠ KA₂šu [MASK] TUM₉ [MASK] BAD [MASK] ina ITI BI A.RA₂ KUR TUR )
,puutta,1,0.0,1.0,( puṭu I | ana KI MIN GA.RAŠ{sar} puutta TI tasak₃ ina GA NAG )
,iptete,1,0.0,1.0,( iptā I | [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] AB.SIN₂ [MASK] [MASK] iptete )
,apteeka,1,0.0,1.0,( apteku I | [MASK] hidatika sakkiš apteeka )
,lipattaa,1,0.0,1.0,( lipātu I | ID₂MEŠ lipattaa )
,tepetema,1,0.0,1.0,( tepu I )
,mupattuu,1,0.0,1.0,( pattû I | [MASK] laasmu ša₂ birkašu₂ la innaha mupattuu [MASK] DINGIRMEŠ athešu₂ )
,peti,1,0.0,1.0,( petu I | [MASK] peti tuluša₂ )
,pitaa,1,0.0,1.0,( pīt I | LU₂ [MASK] {lu₂}GIG pitaa niš {d}UTU [MASK] u₄mu niš {d}30 LUGAL )
,iptema,1,0.0,1.0,( ipṭu I | birkiia iptema mari )
,tapti,1,0.0,1.0,( tapû I | šigaar ANe ellutu tapti )
,aptetu₄,1,0.0,1.0,( aptu I | aptetu₄ {lu₂}ša₂piree )
,iipte,1,0.0,1.0,( iṭṭu I | u₂ul iipte )
,tupattu₂,1,0.0,1.0,( ṭuppu I | tupattu₂ ana la naṭil GAR ZALAG₂ ṭuppi armu NU BADa )
,putaa,1,0.0,1.0,( putu I | rapaaški ṣe₂rum putaa )
,ippetaa,1,0.0,1.0,( ippa I | ina ul ippetaa )
,pataama,1,0.0,1.0,( pātāmu I | pataama ABULMEŠ ša₂ ANe )
,petaaat,1,0.0,1.0,( petu I | GABsa petaaat )
,petuu₂,1,0.0,1.0,( petu I | [MASK] petuu₂ )
,petima,1,0.0,1.0,( petu I | BE MUNUS U₃.TUma ŠA₃šu₂ petima erri NU TUK KUR suunqam IGImar )
,petee,1,0.0,1.0,( petu I | [MASK] [MASK] petee LU₂.UG₇ [MASK] igi )
,piit,1,0.0,1.0,( pi I | ṣalam annuu₂ ina la piit pii qutriinni ul iiṣṣiin [MASK] akala ul ikkal mee ul išatti )
,BAD.BADte,1,0.0,1.0,( bad I | DIŠ ina u₄mi ša₂ GIG kappišu₂ u KAšu₂ BAD.BADte ŠUBšu₂ )
,BAD.BADTE,1,0.0,1.0,( bad I | DIŠ ina u₄mi ša₂ GIG KAšu₂ BAD.BADTE KU₄ )
,teepteema,1,0.0,1.0,( teepte I | izbu [MASK] teepteema TUN₃šu₂ NU )
,iptuu,1,0.0,1.0,( iptū I | ereni šurini sebet adi šina piika iptuu )
,BADe,1,0.0,1.0,( bādu I | [MASK] [MASK] ŠA₃šu₂ ina BADe ṭeruti )
,petaaʾ,1,0.0,1.0,( petu I | [MASK] [MASK] [MASK] petaaʾ upnaaa )
,pete,1,0.0,1.0,( pētum I | {d}nuska pete KA₂ka )
,ipate,1,0.0,1.0,( iptu I | AMA ana DUMU.MUNUS ul ipate )
,aptetakka,1,0.0,1.0,( aptu I )
,teepte,1,0.0,1.0,( teepu I )
,ušpatti,1,0.0,1.0,( ušpatu I )
,ipetešu₂,1,0.0,1.0,( iptu I | ša₂ilu ina muušša₂akka ul ipetešu₂ )
,litpata,1,0.0,1.0,( litpa I | itame ana litpata imat )
,ipetuu₂,1,0.0,1.0,( iptu I | [MASK] ina muhhi ipetuu₂ naaš₂ SUHUŠ ina UGU )
,petema,1,0.0,1.0,( petu I | [MASK] [MASK] petema )
,lippete,1,0.0,1.0,( lippu I | kabattaka katimtu lippete )
,ittene₂epti,1,0.0,1.0,( itnē I | DIŠ ina E₂ [MASK] [MASK] ittene₂epti ina E₂ BI GIR₃ )
,puuttuu₂,1,0.0,1.0,( puṭu I | HABRUD.DAMEŠ [MASK] [MASK] puuttuu₂ )
,pe₂ti,1,0.0,1.0,( peṭu I | HABRUD.DA ina šupala EN E₂ pe₂ti EN E₂ )
,ippe₂ti,1,0.0,1.0,( ippe I | DIŠ HABRUD.DA ina SAG GIŠ.NA₂ ippe₂ti )
gamālu I,15,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ŠUil,1,0.0,1.0,( il I | [MASK] KARer [MASK] ŠUil )
,gamala,1,0.0,1.0,( gamalu I | eṭera gamala [MASK] šuzuba )
,gimil,1,0.0,1.0,( gimil I | [MASK] gimil ZIti )
,tagammil,1,0.0,1.0,( gammil I | tagammil ša₂ ina šurqu puunzuruma ezbu )
,tagammeli,1,0.0,1.0,( gammal I | [MASK] tagammeli kiina )
,igammil,1,0.0,1.0,( gammilu I | lirurušu₂ma la igammil napšatsu )
,gamil,1,0.0,1.0,( gamil I | ṣulul maatu gamil niši rapša₂atu₂ kališ )
,igamil,1,0.0,1.0,( gamil I | [MASK] [MASK] la igamil )
,gamalu,1,0.0,1.0,( gamalu I | aššum eṭera gamalu u šuzubu )
,ŠU,1,0.0,1.0,( šū I | [MASK] ŠU KAR tidee )
,tagmilinni,1,0.0,1.0,( tagmilu I | [MASK] u₂šamhirka gimil tagmilinni )
,liigmeluka,1,0.0,1.0,( liigmelu I | [MASK] rube₂e liigmeluka )
,tagammilšu₂,1,0.0,1.0,( tagammilu I | reme₂nata belu₄ ina dab₂dee tagammilšu₂ u anaku DUMU {lu₂}HAL palihu IR₃ka )
,iNABgammi₃lu,1,0.0,1.0,( nabālu I | la iNABgammi₃lu napšatsu )
,tagamilšu₂,1,0.0,1.0,( tagāmu I | ša₂ hiṭu ihṭuu₂ tagamilšu₂ atta )
šehṭu I,8,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
