Lemma,L_appearances,Clean Value,CV_appearances,T_L_appearances,P_L_appearances,P_CV_appearances
ina I,9667,i-na,472,194888,0.049602848,0.0488259
ina I,9667,ina,9113,194888,0.049602848,0.9426916
ina I,9667,i+na,28,194888,0.049602848,0.0028964519
ina I,9667,i-ṣe-er,1,194888,0.049602848,0.00010344471
ina I,9667,i,15,194888,0.049602848,0.0015516706
ina I,9667,iṣ-ṣe₂-ri-ia,1,194888,0.049602848,0.00010344471
ina I,9667,in,9,194888,0.049602848,0.0009310024
ina I,9667,TA,25,194888,0.049602848,0.0025861177
ina I,9667,i-ṣe₂-ri-a,1,194888,0.049602848,0.00010344471
ina I,9667,i₃-na,1,194888,0.049602848,0.00010344471
ina I,9667,ina+kal-li,1,194888,0.049602848,0.00010344471
tamhuṣu I,2,tam-hu-uṣ,2,194888,1.0262304E-05,1
kakku I,334,kak-ku,14,194888,0.0017138049,0.04191617
kakku I,334,{giš}TUKUL-ME,4,194888,0.0017138049,0.011976048
kakku I,334,{giš}TUKUL,257,194888,0.0017138049,0.7694611
kakku I,334,kak-ka,2,194888,0.0017138049,0.005988024
kakku I,334,kak-ki,4,194888,0.0017138049,0.011976048
kakku I,334,{giš}TUKUL-MEŠ,17,194888,0.0017138049,0.0508982
kakku I,334,{giš}TUKUL-MEŠ-šu₂,7,194888,0.0017138049,0.020958085
kakku I,334,{giš}TUKUL-ka,2,194888,0.0017138049,0.005988024
kakku I,334,{giš}TUKUL-šu₂,6,194888,0.0017138049,0.017964073
kakku I,334,{giš}kak-ki-ka,1,194888,0.0017138049,0.002994012
kakku I,334,{giš}TUKUL-MEŠ-ka,2,194888,0.0017138049,0.005988024
kakku I,334,GIŠ.TUKUL.MEŠ-ka,1,194888,0.0017138049,0.002994012
kakku I,334,GIŠ.TUKUL-MEŠ-ka,1,194888,0.0017138049,0.002994012
kakku I,334,{giš}TUKUL-MEŠ-šu₂-nu,2,194888,0.0017138049,0.005988024
kakku I,334,kak-ki-ia,1,194888,0.0017138049,0.002994012
kakku I,334,{gis}TUKUL,2,194888,0.0017138049,0.005988024
kakku I,334,kak-ki-šu₂,2,194888,0.0017138049,0.005988024
kakku I,334,ka-ak,1,194888,0.0017138049,0.002994012
kakku I,334,GIŠ.TUKUL,2,194888,0.0017138049,0.005988024
kakku I,334,kak-ka-šu₂,1,194888,0.0017138049,0.002994012
kakku I,334,ka-ak-ka-šu,1,194888,0.0017138049,0.002994012
kakku I,334,ka-ak-ka,1,194888,0.0017138049,0.002994012
kakku I,334,ka-ak-ki,1,194888,0.0017138049,0.002994012
kakku I,334,{giš}TUKUL-MEŠ-ia,1,194888,0.0017138049,0.002994012
kakku I,334,kak-kum,1,194888,0.0017138049,0.002994012
mēlultu I,8,me-lul-tu₄,2,194888,4.1049218E-05,0.25
mēlultu I,8,me-lul-ti,2,194888,4.1049218E-05,0.25
mēlultu I,8,mi-lul-a-ti,2,194888,4.1049218E-05,0.25
mēlultu I,8,mi-lul-ti,2,194888,4.1049218E-05,0.25
Ištar I,117,{d}iš-tar,31,194888,0.0006003448,0.26495728
Ištar I,117,{d}15,20,194888,0.0006003448,0.17094018
Ištar I,117,{d}INANNA,4,194888,0.0006003448,0.034188036
Ištar I,117,{d}+INANA,2,194888,0.0006003448,0.017094018
Ištar I,117,{d}iš₈-tar₂,4,194888,0.0006003448,0.034188036
Ištar I,117,{d}+INNIN,3,194888,0.0006003448,0.025641026
Ištar I,117,{d}INNIN,1,194888,0.0006003448,0.008547009
Ištar I,117,{d}INANA,2,194888,0.0006003448,0.017094018
Ištar I,117,eš₁₈-tar₂,4,194888,0.0006003448,0.034188036
Ištar I,117,{d}U+DAR,1,194888,0.0006003448,0.008547009
Ištar I,117,iš₈-tar₂,1,194888,0.0006003448,0.008547009
Ištar I,117,EŠ₄.TAR₂,41,194888,0.0006003448,0.35042736
Ištar I,117,EŠ₄.DAR,1,194888,0.0006003448,0.008547009
Ištar I,117,{d}+INANNA,2,194888,0.0006003448,0.017094018
lā I,1564,la,973,194888,0.008025122,0.62212276
lā I,1564,NU,545,194888,0.008025122,0.34846547
lā I,1564,NU₃,1,194888,0.008025122,0.0006393862
lā I,1564,la₂,5,194888,0.008025122,0.003196931
lā I,1564,la-a,18,194888,0.008025122,0.011508951
lā I,1564,la₃,9,194888,0.008025122,0.0057544755
lā I,1564,GIŠ₃.NU.ZU,6,194888,0.008025122,0.0038363172
lā I,1564,NU.ZU,5,194888,0.008025122,0.003196931
lā I,1564,NU.ŠE.GA,1,194888,0.008025122,0.0006393862
lā I,1564,MUNUS.NU.SI.SA₂,1,194888,0.008025122,0.0006393862
bēlu I,898,be-li₂,46,194888,0.004607775,0.051224943
bēlu I,898,be-lu₄,73,194888,0.004607775,0.08129176
bēlu I,898,be-li₃,4,194888,0.004607775,0.004454343
bēlu I,898,EN,392,194888,0.004607775,0.4365256
bēlu I,898,EN-ia,30,194888,0.004607775,0.033407573
bēlu I,898,EN-šu₂,49,194888,0.004607775,0.0545657
bēlu I,898,{d}EN,47,194888,0.004607775,0.05233853
bēlu I,898,be-el,61,194888,0.004607775,0.06792873
bēlu I,898,EN.EN,6,194888,0.004607775,0.0066815144
bēlu I,898,be-lu,24,194888,0.004607775,0.026726058
bēlu I,898,be-li₂-šu,1,194888,0.004607775,0.0011135858
bēlu I,898,{d}+EN,54,194888,0.004607775,0.06013363
bēlu I,898,EN-MEŠ,7,194888,0.004607775,0.0077951
bēlu I,898,EN-ia₂,21,194888,0.004607775,0.023385301
bēlu I,898,be-el-šu₂,4,194888,0.004607775,0.004454343
bēlu I,898,EN-BI,2,194888,0.004607775,0.0022271716
