GPT_4_MINI_Small_Batch_Freq_to_Infreq_11
Statistical analysis:
Total Guesses:,201
Total Akkadian Guesses:,196
Total Correct Akkadian Guesses:,20,Percent Correct Guesses:,0.10204081632653061
Total Incorrect Akkadian Guesses:,176,Percent Incorrect Guesses:,0.8979591836734694
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,training with statements and questions in small batches of 4 lemmas x28. between batches, alternate between only questions and only statements. train on frequent then infrequent batches. give only context as example sentence. for training: 32 high frequency, 24 low frequency, all sumerian/emesal. test batch size = 30. small mistake correction (thresh 3), common mistake correction (thresh 3), and negative reinforcement used in training. Example sentence masks turned on.
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
šikaru I,15,0.2,0.8
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,KAŠ.SAG,1,0.0,1.0,( KAŠ.SAG I | ana GEŠ₃šu₂ DUB ina [MASK] [MASK] u KAŠ.SAG [MASK] [MASK] ina I₃.GIŠ u KAŠ.SAG KI.MIN )
,KAŠ,1,0.0,1.0,( KAŠ I | SILA₃ NINDA u₃ KAŠ ina )
,šikar,1,0.0,1.0,( šikar I | [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] ina šikar ušša₂bu )
,KAŠMEŠ,1,0.0,1.0,( KAŠ I | BA₇ NINDAMEŠ BA₇ KAŠMEŠ TA@v ŠA₃ )
,šiikru,1,0.0,1.0,( šikru I | šiikru ana KI.TAnu zaaqpaan )
,šikara,1,1.0,0.0,
,KAŠ.HI.A,1,0.0,1.0,( KAŠ I | ša KAŠ.HI.A )
,SAG,1,0.0,1.0,( SAG I | ina šiltahu ZABAR 7šu₂ SIG₃aṣma luu₂ ina KAŠ SAG )
,KAŠHI.A,1,0.0,1.0,( KAŠHI I | ina KAŠHI.A SUMUN )
,šikari,1,1.0,0.0,
,KAŠ.SAG.GA,1,0.0,1.0,( KAŠ.SAG I | KAŠ.SAG.GA u GEŠTIN )
,šikaruumma,1,0.0,1.0,( šikarum I | [MASK] [MASK] šikaruumma )
,šikaru,1,1.0,0.0,
,KAŠšu₂,1,0.0,1.0,( KAŠ I | šiti KAŠšu₂ )
,KAS.SAG,1,0.0,1.0,( KAS I | NIG₂.NA {šim}LI GARan KAS.SAG BALqi₂ {udu}SISKUR₂ )
zīru II,1,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,zirat,1,0.0,1.0,( ziratu I | SI ZAGšu₂ zirat u GI₆at AD.HAL NUN E₃ )
šasû I,91,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,šitasiia,1,0.0,1.0,( šitaš I | ana tamarti šitasiia E₂.GAL )
,aša₂assuka,1,0.0,1.0,( ašāku I | aša₂assuka qati ṣabat )
,šitaassiia,1,0.0,1.0,( šitaš I | ana tamarti šitaassiia qe₂reb )
,šiissima,1,0.0,1.0,( šīšum I | šiissima atlaa )
,issima,1,0.0,1.0,( issum I | U₄ issima [MASK] adir ina AN.GE₆ [MASK] {d}IŠKUR GU₃šu₂ ŠUBma )
,GU₃.DE₂MEŠ,1,0.0,1.0,( GU I | LUGAL [MASK] [MASK] [MASK] ina [MASK] [MASK] GU₃.DE₂MEŠ )
,GU₃sima,1,0.0,1.0,( GU I | IGI [MASK] NIG₂.NA {šim}LI {šim}GIG u ZI₃.DA GARun šiguu₂ GU₃sima )
,issi,1,0.0,1.0,( issi I | [MASK] [MASK] issi )
,iša₂assi,1,0.0,1.0,( iša I | [MASK] iša₂assi )
,GU₃.GU₃,1,0.0,1.0,( GU I | [MASK] SAG.DU GU₃.GU₃ )
,GU₃.GU₃u₂,1,0.0,1.0,( GU I | [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] MUR.GAL magal GU₃.GU₃u₂ )
,GU₃.GU₃sima,1,0.0,1.0,( GU I | DIŠ ilebbu u isaaʾ GAM [MASK] DIŠ [MASK] [MASK] GU₃.GU₃sima NU NAG ŠU DINGIR GAL.GAL GAM )
,GU₃si,1,0.0,1.0,( GU I | DIŠ DAR{mušen} ina E₂ LU₂ GU₃si E₂ BI BIRah )
,GU₃.DE₂u₂,1,0.0,1.0,( GU I | [MASK] {d}tutu ša₂ ina IGI LUGAL GU₃.DE₂u₂ )
,išassi,1,0.0,1.0,( išāšu I | [MASK] [MASK] [MASK] išassi )
,šitaassišu₂,1,0.0,1.0,( šitaassu I | [MASK] IGI.LA₂šu₂ u₃ šitaassišu₂ {m}{d}I₃.ZU.ZUzuqupGIN )
,GU₃.GU₃si,1,0.0,1.0,( GU I | DIŠ SUR₂.DU₃{mušen} ina ZA₃ GU₃.GU₃si I.BI₂.ZA )
,DU₁₁si,1,0.0,1.0,( DU I | {d}IŠKUR ina [MASK] simanišu₂ DU₁₁si )
,taša₂assi,1,0.0,1.0,( tašāsu I | ṭuppi ar₂mu la petaa taša₂assi )
,ša₂suu,1,0.0,1.0,( šāsu I | [MASK] [MASK] [MASK] [MASK] [MASK] ša₂suu [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] ša₂suu )
,alsika,1,0.0,1.0,( alāku I | alsika DI.KU₅ ṣiru {d}UTU EN )
,alsikunuši,1,0.0,1.0,( alsikunu I | DINGIRMEŠ alsikunuši ina [MASK] [MASK] [MASK] palhaku )
,ištanasi,1,0.0,1.0,( ištanāsu I | DIŠ {d}NIN.NINNA₂{mušen} eli KI ištanasi URU BI innaaddi )
