GPT_4_Mini_Small_Batch_Freq_to_Infreq_17
Statistical analysis:
Total Guesses:,210
Total Akkadian Guesses:,210
Total Correct Akkadian Guesses:,4,Percent Correct Guesses:,0.01904761904761905
Total Incorrect Akkadian Guesses:,206,Percent Incorrect Guesses:,0.9809523809523809
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,4 mini test 8, but with, positive reinforcement, 32 frequent lemmas, 12 batches of 4, with common mistake correction (4 thresh) and small mistake correction (3 thresh). testsize = 30
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'guess', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'guess', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
še'û I,49,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,tašeʾi,1,0.0,1.0,( tašû I | {d}30 ina ANe u KIti₃ tašeʾi gimri )
,ešeki,1,0.0,1.0,( ešēku I | ešeki {tug₂}SIG₂ki aṣbat GIM {tug₂}SIG₂ DINGIRMU u₃ )
,KINma,1,0.0,1.0,( KIN I | U₄.15.KAM₂ [MASK] [MASK] [MASK] [MASK] KUR₂ KINma [MASK] kiššati BE )
,šiteʾu₂ma,1,0.0,1.0,( šiteʾu I | [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] ŠAR₂@v [MASK] šiteʾu₂ma )
,liššeʾeka,1,0.0,1.0,( liššû I | DIGIR {d}15 liššeʾeka )
,ešeʾeka,1,0.0,1.0,( ešeʾ I | ešeʾeka [MASK] DAGALta aṣbat ŠUša₂ SIG₅.GA )
,KIN,1,0.0,1.0,( KIN I | [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] GUB ina MU BI [MASK] [MASK] ana KUR TUR SILIMma KIN )
,ašeʾikunuši,1,0.0,1.0,( ašeʾiku I | ashurkunuši ašeʾikunuši TA@v )
,ešeka,1,0.0,1.0,( ešēku I | {d}UTU ešeka )
,ištene₂ʾi,1,0.0,1.0,( ištēnu I | DIŠ ina GU₄.UDšu₂ duʾum IDIM ENšu₂ ištene₂ʾi nertu₄ u [MASK] ina KUR GAL₂ši )
,ešteeka,1,0.0,1.0,( ešteka I | ashura atamarka ashurakka ešteeka )
,ešʾeka,1,0.0,1.0,( ešʾu I | {d}UTU {d}UTU ešʾeka {d}UTU ashurka {d}UTU TUG₂.SIG₂ka aṣbat )
,ašeʾi,1,0.0,1.0,( ašû I | ašeʾi [MASK] maattu lu aduk šallasunu NIG₂.GAšu₂nu )
,KINkima,1,0.0,1.0,( kīma I | [MASK] GEŠTU GUB₃šu₂ ina [MASK] [MASK] [MASK] [MASK] [MASK] {d}ninurta KINkima )
,ešteʾišuma,1,0.0,1.0,( šēti I | {d}UTU ina IGIka ešteʾišuma TUG₂HI.A ana litbušišu₂ {kuš}E.SIR₂ ana GIR₃+MINšu₂ )
,tešeʾe,1,0.0,1.0,( tešeʾ I | {d}30 ina ANe tešeʾe gimri )
,KIN.KINma,1,0.0,1.0,( KIN I | [MASK] [MASK] [MASK] KIN.KINma )
,aš₂tane₂ʾema,1,0.0,1.0,( ašṭānu I | aš₂tane₂ʾema mammaan qa₂ti ul iṣabat )
,šiteu₂ti,1,0.0,1.0,( šite I | ar₂kat₂sina kima gišparru ibbalakkitaaka ana šammi la šiteu₂ti buulka [MASK] la tanaassah )
,ešeʾe,1,0.0,1.0,( eše I | [MASK] ešeʾe belutki )
,ešeʾki,1,0.0,1.0,( ešeʾ I | I₇ rabatu₂ I₇ ṣirati ashurki ešeʾki )
,šiteʾišu₂,1,0.0,1.0,( šiteʾu I | [MASK] {d}+enlil₂ [MASK] ina šiteʾišu₂ )
,aš₂šekunuši,1,0.0,1.0,( aššekunu I | aš₂šekunuši [MASK] [MASK] [MASK] GA )
,ešekunuši,1,0.0,1.0,( ešekunu I | ešekunuši u₂kabbitkunuši )
,KIN.KINka,1,0.0,1.0,( KIN I | [MASK] [MASK] [MASK] {d}UTU KIN.KINka [MASK] TUG₂.SIG₂ka )
,luušteʾii,1,0.0,1.0,( luušt I | u₃ luušteʾii ašrat )
,ašeeʾka,1,0.0,1.0,( ašû I | azzaaz ašeeʾka )
,KIN.KINki,1,0.0,1.0,( KIN I | NIGINki KIN.KINki šimii A.RA.ZUti )
,aš₂teʾaa,1,0.0,1.0,( ašṭā I | aš₂teʾaa uddušu₂ mimma [MASK] DINGIRtišu₂ )
,šeʾi,1,0.0,1.0,( šeʾu I | {a}ana laappani šeʾi KA₂ia ataruṣa ŠU.MINaa )
,šiteʾema,1,0.0,1.0,( šiteʾu I | [MASK] [MASK] šiteʾema simaakku DIGIRMEŠ )
,šiteʾuu₂,1,0.0,1.0,( šiteʾu I | šiteʾuu₂ puuhhuru(U₂) )
,ašteʾe,1,0.0,1.0,( ašteʾu I )
,išeʾunimma,1,0.0,1.0,( išeʾu I | [MASK] išeʾunimma andanaquta )
,ištene₂ʾu₂,1,0.0,1.0,( ištēnu I | [MASK] ištene₂ʾu₂ [MASK] kibrat )
,ešiiʾkunuši,1,0.0,1.0,( ešiiqu I | [MASK] ešiiʾkunuši )
,ašeʾeka,1,0.0,1.0,( ašeʾu I | azzaaz ašeʾeka )
,šiteʾa,1,0.0,1.0,( šiteʾ I | [MASK] šiteʾa )
,lišteema,1,0.0,1.0,( lištum I | NENNI {lu₂}A.ZU lišteema )
,aš₂tene₂ʾii,1,0.0,1.0,( ašṭen I | aš₂riki aš₂tene₂ʾii [MASK] ana palah )
,išiʾi₃ima,1,0.0,1.0,( išiʾu I )
