GPT_4_Mini_Small_Batch_Freq_to_Infreq_19
Statistical analysis:
Total Guesses:,122
Total Akkadian Guesses:,121
Total Correct Akkadian Guesses:,10,Percent Correct Guesses:,0.08264462809917356
Total Incorrect Akkadian Guesses:,111,Percent Incorrect Guesses:,0.9173553719008265
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,same as gpt_mini small batch test 8 except: testsize = 30
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'guess', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'guess', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
mēlultu I,5,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,melultu₄,1,0.0,1.0,( melultu I | [MASK] [MASK] ašar melultu₄ )
,melulti,1,0.0,1.0,( melultu I | iṣbat ŠA₃ GURUŠ ina melulti iṣbat ŠA₃ KI.SIKIL ina uršiša₂ )
,milulati,1,0.0,1.0,( milulu I | milulati ša )
,melulta,1,0.0,1.0,( melultu I | [MASK] melulta ša₂ {d}U.GUR EZEN ša₂ {d}AG U₄ NU ŠE )
,milulti,1,0.0,1.0,( milulu I | ṣeehrutu ašar milulti [MASK] [MASK] tušeeṣṣaa )
kīdānu I,3,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,kidaanu,1,0.0,1.0,( kida I | DIŠ SI ZAGšu₂ ana kidaanu GIM gamli₃ )
,kidanu,1,0.0,1.0,( kidanu I | E₂ [MASK] ana kidanu [MASK] E₂ )
,kidianu,1,0.0,1.0,( kidinnu I | E₂ šikinšu₂ ana kidianu [MASK] E₂ BI ŠUBdi )
pallukku I,2,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,palluukki,1,0.0,1.0,( pallu I | {d}MIN GIM palluukki )
,palluukku,1,0.0,1.0,( pallu I | [MASK] [MASK] [MASK] [MASK] [MASK] palluukku ša₂ KUR KUR₂ )
elû II,8,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,AN.TA,1,0.0,1.0,( muṣlālu I | SAG AN.TA SAG KI.TA )
,elaa,1,0.0,1.0,( ilā I | elaa ina nabali )
,elaati,1,0.0,1.0,( ela I | attama laiṭsunu {d}UTU DI.KU₅ ša₂ elaati ana šaplaati )
,eluu₂,1,0.0,1.0,( elû I | TA muhhi arammu eluu₂ ša₂ KAR KU₃.GA adi KA₂.GAL LUGAL )
,AN{+u₂},1,0.0,1.0,( muṣlālu I | E₂ ep₂šu₂ [MASK] KI{+ti₃} KA₂ [MASK] ša₂ qe₂reb UNUG{ki} US₂ AN{+u₂} {tu₁₅}SI.SA₂ DA GU₂ )
,ANTA,1,0.0,1.0,( anta I | MULMEŠšu₂ ANTA [MASK] KUR SU.BIR₄{ki} u MAR.TU{ki} )
,AN.TAu₂,1,0.0,1.0,( muṣlālu I | BE MINma AN.TAu₂ )
,eluu₂um,1,0.0,1.0,( elû I | [MASK] [MASK] eluu₂um )
ekēmu I,25,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,tekimuu₂urma,1,0.0,1.0,( tekimu I | šarra tekimuu₂urma )
,ekiim,1,0.0,1.0,( ekû I | [MASK] LUGALsunu ekiim u₃ )
,ukkumu,1,0.0,1.0,( ukkumu I | [MASK] [MASK] ukkumu )
,KAR,1,0.0,1.0,( karu I | BE SAG [MASK] AN.TA KAR DUB.11.KAM )
,KARet,1,0.0,1.0,( karu I | [MASK] UD [MASK] KARet IGI.IGIe KUR₂ GAZ )
,KARma,1,0.0,1.0,( karu I | BE ŠU.SI KARma )
,ekim,1,0.0,1.0,( ekimu I | [MASK] [MASK] [MASK] [MASK] [MASK] {giš}MA₂.GUR₈ ekim )
,ekiissu,1,0.0,1.0,( ekīšu I | naašparuu₂ ekiissu IGIšu₂ ana IGIšu₂ NU hadi )
,KARim,1,0.0,1.0,( karu I | KARim ina )
,KARmu,1,0.0,1.0,( muṣlālu I | la KARmu )
,ekemu,1,0.0,1.0,( ekemu I | [MASK] 5šu₂ [MASK] MURUB₄ GIR₂ [MASK] musaririMU KUR₂ idak [MASK] [MASK] [MASK] [MASK] [MASK] ekemu eṭe₃ru )
,ikkimu,1,0.0,1.0,( ikkimu I | [MASK] ikkimu {d}PA DUB.SAR )
,ikim,1,0.0,1.0,( ikāmu I | [MASK] ana E₂ [MASK] [MASK] [MASK] ikim [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] ŠUBdi )
,ekmeet,1,0.0,1.0,( ekmu I | sureet appišu₂ ekmeet DAM laleešu₂ )
