GPT_4_MINI_Small_Batch_Freq_to_Infreq_14
Statistical analysis:
Total Guesses:,316
Total Akkadian Guesses:,311
Total Correct Akkadian Guesses:,173,Percent Correct Guesses:,0.5562700964630225
Total Incorrect Akkadian Guesses:,138,Percent Incorrect Guesses:,0.4437299035369775
Total Sumerian Guesses:,0
Total Emesal Guesses:,0

Qualitative analysis:
Description:,n/a
Model used:,GPT_4_MINI
Prompts used:,
['instruction 1: ', ['The', 'following', 'is', 'a', 'conversation', 'between', 'two', 'Akkadian', 'language', 'experts.', 'One', 'guesses', 'the', 'lemma', 'of', 'a', 'provided', 'clean', 'value', 'while', 'the', 'other', 'indicates', 'whether', 'they', 'are', 'correct', 'or', 'not.', 'Using', 'your', 'knowledge', 'of', 'linguistic', 'analysis', 'and', 'the', 'information', 'shared', 'in', 'this', 'conversation', 'you', 'will', 'perform', 'the', 'task', 'of', 'identifying', 'the', 'lemmas', 'of', 'words', 'from', 'Akkadian.\n']]
['instruction 2: ', ['A', 'lemma', 'is', 'defined', 'as', 'the', 'root', 'form', 'of', 'a', 'word', 'without', 'conjugation.', 'Also', 'known', 'as', 'one', 'that', 'would', 'be', 'listed', 'in', 'a', 'dictionary', 'entry', 'for', 'the', 'word.\n']]
['instruction 3: ', ['You', 'will', 'be', 'given', 'the', 'word', 'which', 'you', 'need', 'to', 'identify.', 'Sometimes', 'you', 'will', 'be', 'given', 'contextual', 'information', 'such', 'as', 'the', 'language', 'the', 'word', 'is', 'found', 'in', 'as', 'well', 'as', 'an', 'example', 'of', 'its', 'use', 'in', 'a', 'sentence.', '\n']]
['instruction 4: ', ['Return', 'a', 'single', 'word', 'without', 'explanation', 'nor', 'formatting', 'when', 'asked', 'for', 'the', 'lemma', 'of', 'a', 'word.\n']]
['training statement prompt: ', ['The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['test question prompt: ', ['What', 'is', 'the', 'lemma', 'of', '', '[P]', '?\n']]
['example sentence context prompt: ', ['An', 'example', 'sentence', 'using', 'this', 'word', 'is', '', '[P]', '.\n']]
['negative reinforcement prompt: ', ['Your', 'response', 'is', 'incorrect.', 'The', 'lemma', 'of', '', '[P]', '', 'is', '', '[P]', '.\n']]
['small mistake negative reinforcement prompt: ', ['The', 'correct', 'lemma', 'is', 'slightly', 'different.\n']]
['common mistake negative reinforcement prompt: ', ['"When', 'given', 'words', 'whose', 'lemma', 'is', '', '[P]', '']]

Tested Lemmas:,Total Tests,,Percent Correct,Percent Incorrect,Incorrect Guesses
ina I,5,0.4,0.6
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ina,1,1.0,0.0,
,iṣeer,1,0.0,1.0,( išû I | ṣarupa₂am iṣeer )
,i,1,0.0,1.0,( i I | [MASK] [MASK] [MASK] [MASK] [MASK] ataadlaah i )
,ina+kalli,1,1.0,0.0,
,ikisi₂a,1,0.0,1.0,( ikāšu I | u₃baal anaku ikisi₂a luušqu₂ul )
lā I,10,0.0,1.0
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,la(LU),1,0.0,1.0,( la I | panišu₂ la(LU) u₂sahhara )
,la₃,1,0.0,1.0,( la I | [MASK] la₃ )
,la₂,1,0.0,1.0,( la I | la₂ u₂še₂bi₄la₂kum )
,GIŠ₃.NU.ZU,2,0.0,1.0,( GIŠ I | [MASK] GIŠ₃.NU.ZU ) | ( GIŠ I | [MASK] [MASK] [MASK] ša₂ SIG₂ {munus}AŠ₂.GAR₃ GIŠ₃.NU.ZU BABBAR u GI₆ )
,laa,1,0.0,1.0,( la I | laa [MASK] [MASK] itti DINGIRšu )
,GEŠ₃.NU.ZU,1,0.0,1.0,( GEŠ I | [MASK] {munus}AŠ₂.GAR₃ GEŠ₃.NU.ZU BABBAR u GE₆ {giš}GAGMEŠ )
,NU.ZU,1,0.0,1.0,( NU I | [MASK] NU.ZU [MASK] [MASK] [MASK] NU.ZU )
,NU.ŠE.GA,1,0.0,1.0,( NU I )
,la+a,1,0.0,1.0,( la I | ešru la+a )
ana I,5,0.4,0.6
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,amala₂,1,0.0,1.0,( amal I | ahi ata amala₂ )
,{m}ana,1,1.0,0.0,
,DIŠ,1,0.0,1.0,( šumma I | DIŠ KIMIN {šim}SES U₂BABBAR {mun}emesalli₃ [MASK] ZABAR ana ŠA₃ IGIMINšu₂ )
,ana₂,1,1.0,0.0,
,ZAG.TIL.LA.BI.ŠE₃,1,0.0,1.0,( ZAG I | ša₂ NAGAR tiikpi ša₂ [MASK] ZAG.TIL.LA.BI.ŠE₃ )
ša I,5,0.4,0.6
,WordType: UNKNOWN
,Language: AKKADIAN
,Tested Clean Values
,ša₂salamu,1,0.0,1.0,( šalam I | [MASK] KU₄ub ša₂salamu )
,LU₂.NIG₂.EGIR.NI,1,0.0,1.0,( šarru I )
,ša(|SILA₃.UD|),1,1.0,0.0,
,NIG₂.ŠUsu,1,0.0,1.0,( NIG I | [MASK] GIM [MASK] NIG₂.ŠUsu )
